code,turkish_name,english_name,weight
0932201,Evcil hayvan mamaları,Pet food,
0932204,Evcil hayvanlara yönelik diğer ürünler,Other pet products,
094,Eğlence ve dinlence hizmetleri,Recreational services,"1,9297"
0945,Veterinerlik ve ev hayvanları için diğer hizmetler,Veterinary and other services for pets,"0,2784"
09450,Veterinerlik ve ev hayvanları için diğer hizmetler,Veterinary and other services for pets,"0,2784"
0945001,Veterinerlik hizmetleri,Veterinary services,
0946,"Eğlence, dinlence ve spor hizmetleri",Recreational and sporting services,"1,5798"
09461,Eğlence ve dinlence hizmetleri,Recreational and leisure services,"0,3765"
0946103,Hobi ve eğlence hizmetleri,Recreation and hobby services,
09462,Spor faaliyetlerine katılım,Services associated with the practice of sports,"1,2034"
0946201,"Sportif tesislere yapılan ödemeler (üyelik, kiralama vb.)","Payments for sports facilities (membership, rental, etc.)",
0946203,Spor amaçlı kurs ücretleri,Sports training fee,
0947,Şans oyunları,Games of chance,"0,0715"
09470,Şans oyunları,Games of chance,"0,0715"
0947001,Şans oyunları,Games of chance,
096,Kültürel hizmetler,Cultural services,"0,4268"
0961,"Sinema, tiyatro ve konser salonlarında verilen hizmetler","Services provided by cinemas, theatres and concert venues","0,1849"
09610,"Sinema, tiyatro ve konser salonlarında verilen hizmetler","Services provided by cinemas, theatres and concert venues","0,1849"
0961001,Sinema bileti,Cinema ticket,
0961002,Tiyatro bileti,Theatre ticket,
0969,Diğer kültürel hizmetler,Other cultural services,"0,2419"
09690,Diğer kültürel hizmetler,Other cultural services,"0,2419"
0969006,"Düğün, nişan vb. toplantılar için salon kirası","Event hall rental for wedding, engagement, and other events",
097,"Gazete, kitap ve kırtasiye malzemeleri","Newspapers, books and stationery","0,5114"
0971,Kitaplar,Books,"0,3400"
09711,Eğitsel kitaplar ve ders kitapları,Educational books and textbooks,"0,2436"
0971102,Test kitapları,Test books,
0971103,Ders kitapları,Textbooks,
09719,Diğer kitaplar,Other books,"0,0965"
0971901,Çocuk kitapları,Children's books,
0971902,Diğer kitaplar,Other books,
0974,Kırtasiye ve çizim malzemeleri,Stationery and drawing materials,"0,1713"
09740,Kırtasiye ve çizim malzemeleri,Stationery and drawing materials,"0,1713"
0974001,Okul defterleri,School notebooks,
0974003,Kalemler,Pens and pencils,
0974004,Resim boyaları,Paintings for paints,
0974005,Yazım ve çizim kağıtları,Writing and drawing paper,
0974009,Diğer kırtasiye malzemeleri,Other stationery items,
098,Paket turlar ve tatiller,Package holidays,"0,5912"
0980,Paket turlar ve tatiller,Package holidays,"0,5912"
09800,Paket turlar ve tatiller,Package holidays,"0,5912"
0980002,Yurt içi hafta sonu turları,Domestic weekend package tours,
0980003,Yurt içi diğer turlar,Other domestic package tours,
0980006,Yurt dışı turlar,Package tours abroad,
0980008,Umre ücreti (Diyanet İşleri Başkanlığı),Umrah package fee (Presidency of Religious Affairs of Türkiye),
0980009,Umre ücreti (acente),Umrah package fee (agency),
10,Eğitim hizmetleri,Education services,"2,0215"
101,Okul öncesi ve temel eğitim (ilkokul),Early childhood and primary education,"0,6984"
1010,Okul öncesi ve temel eğitim (ilkokul),Early childhood and primary education,"0,6984"
10101,Okul öncesi eğitim,Early childhood education,"0,2398"
1010101,Anaokulu ücreti,Preschool fee,
10102,İlkokul eğitimi (temel eğitim),Primary education,"0,4586"
1010201,Özel ilkokul ücreti,Private primary school fee,
102,Ortaöğretim eğitimi (ortaokul ve lise),Secondary education,"0,5479"
1020,Ortaöğretim eğitimi (ortaokul ve lise),Secondary education,"0,5479"
10200,Ortaöğretim eğitimi (ortaokul ve lise),Secondary education,"0,5479"
1020001,Özel ortaokul ücreti,Private lower secondary school fee,
1020002,Özel lise ücreti,Private upper secondary school fee,
104,Yükseköğretim eğitimi,Tertiary education,"0,7752"
1040,Yükseköğretim eğitimi,Tertiary education,"0,7752"
10400,Yükseköğretim eğitimi,Tertiary education,"0,7752"
1040001,Özel üniversite ücreti,Private university fee,
1040002,Açıköğretim öğrenci katkı ücreti (ikinci üniversite),Student contribution fee for open education (second degree program),
11,Lokantalar ve konaklama hizmetleri,Restaurants and accommodation services,"11,1349"
111,Yiyecek ve içecek sunum hizmetleri,Food and beverage serving services,"8,4375"
1111,"Lokantalar, kafeler ve benzerleri","Restaurants, cafés and the like","7,9106"
11111,"Lokantalar, kafeler ve benzerleri, tam sunum hizmeti verenler","Restaurants, cafés and the like – with full service","7,5339"
1111130,Çorbalar (hizmet sunulan yerlerde tüketilen),Soups (full-service restaurants),
1111131,Sıcak yemekler (hizmet sunulan yerlerde tüketilen),Hot meals (full-service restaurants),
1111132,Kebaplar (hizmet sunulan yerlerde tüketilen),Kebabs (full-service restaurants),
1111133,Pideler (hizmet sunulan yerlerde tüketilen),Pide (full-service restaurants),
1111135,Ekmekarası yiyecekler (hizmet sunulan yerlerde tüketilen),Sandwiches (full-service restaurants),
1111144,Hamur tatlıları (hizmet sunulan yerlerde tüketilen),Desserts (full-service restaurants),
1111148,Kahvaltı (hizmet sunulan yerlerde tüketilen),Breakfast (full-service restaurants),
1111152,Sıcak içecekler (hizmet sunulan yerlerde tüketilen),Hot beverages (full-service restaurants),
1111153,Soğuk içecekler/meşrubat (hizmet sunulan yerlerde tüketilen),Cold beverages (full-service restaurants),
1111155,Ayran (hizmet sunulan yerlerde tüketilen),Ayran (full-service restaurants),
1111156,Alkollü içecekler (hizmet sunulan yerlerde tüketilen),Alcoholic beverages (full-service restaurants),
11112,"Lokantalar, kafeler ve benzerleri, sınırlı sunum hizmeti verenler","Restaurants, cafés and the like – with limited service","0,3766"
1111207,Çiğ köfte (hızlı hizmet sunulan yerlerde tüketilen),Çiğ köfte (limited-service restaurants),
1111231,Pizza (hızlı hizmet sunulan yerlerde tüketilen),Pizza (limited-service restaurants),
1111237,Hamburger (hızlı hizmet sunulan yerlerde tüketilen),Hamburger (limited-service restaurants),
1112,"Kantinler, kafeteryalar ve yemekhaneler","Canteens, cafeterias and refectories","0,5270"
11121,"Üniversitelerin, okulların ve kreşlerin kafeteryaları ve kantinleri","Canteens and cafeterias of universities, schools and kindergartens","0,5270"
1112108,Tost (kantinde satılan),Toast (canteens),
1112113,Simit (kantinde satılan),Simit (canteens),
1112120,Çay (kantinde satılan),Tea (canteens),
112,Konaklama hizmetleri,Accommodation services,"2,6974"
1120,Konaklama hizmetleri,Accommodation services,"2,6974"
11201,"Otel, motel, pansiyon ve benzeri yerlerdeki konaklama hizmetleri","Hotels, motels, inns and similar accommodation services","2,5896"
1120101,Otel ücreti,Hotel accommodation fee,
11203,"Yatılı okullar, üniversiteler ve diğer eğitim kurumlarındaki konaklama hizmetleri","Accommodation services of boarding schools, universities and other educational establishments","0,1078"
1120301,Yurt ücreti (üniversite-özel),Private dormitory fee (university),
1120398,Yurt ücreti (üniversite-devlet),Public dormitory fee (university),
12,Sigorta ve finansal hizmetler,Insurance and financial services,"1,0740"
121,Sigorta,Insurance,"0,4282"
1212,Sağlık sigortası,Insurance connected with health,"0,0282"
12120,Sağlık sigortası,Insurance connected with health,"0,0282"
1212098,Sağlık sigortası,Health insurance,
1213,Konut sigortası,Insurance connected with dwellings,"0,0458"
12130,Konut sigortası,Insurance connected with dwellings,"0,0458"
1213001,Konut sigortası (yangın ve diğer afetler),Home insurance (fire and hazards),
