product_id,price,category,tuik_code
12291,750.0,Sehpalar,05
12591,750.0,Sehpalar,05
12290,750.0,Sehpalar,05
10228,350.0,Sehpalar,05
1426,990.0,Sehpalar,05
1427,990.0,Sehpalar,05
1428,990.0,Sehpalar,05
6167,4.0,Çatı kaplama yardımcı malzemeler,05
6161,4.0,Çatı kaplama yardımcı malzemeler,05
6164,2.28,Çatı kaplama yardımcı malzemeler,05
6174,4.0,Çatı kaplama yardımcı malzemeler,05
6155,4.0,Çatı kaplama yardımcı malzemeler,05
3591,360.0,Sentetik ve selülozik boya,05
3609,950.0,Sentetik ve selülozik boya,05
3603,360.0,Sentetik ve selülozik boya,05
3685,950.0,Sentetik ve selülozik boya,05
9624,249.0,Sentetik ve selülozik boya,05
9627,599.0,Sentetik ve selülozik boya,05
9607,599.0,Sentetik ve selülozik boya,05
3604,950.0,Sentetik ve selülozik boya,05
9611,599.0,Sentetik ve selülozik boya,05
10621,216.0,Sentetik ve selülozik boya,05
9599,599.0,Sentetik ve selülozik boya,05
10622,630.0,Sentetik ve selülozik boya,05
9636,249.0,Sentetik ve selülozik boya,05
9632,249.0,Sentetik ve selülozik boya,05
12941,599.0,Sentetik ve selülozik boya,05
3594,950.0,Sentetik ve selülozik boya,05
3596,950.0,Sentetik ve selülozik boya,05
9622,249.0,Sentetik ve selülozik boya,05
9626,599.0,Sentetik ve selülozik boya,05
9639,249.0,Sentetik ve selülozik boya,05
9625,599.0,Sentetik ve selülozik boya,05
9609,249.0,Sentetik ve selülozik boya,05
9634,599.0,Sentetik ve selülozik boya,05
9635,599.0,Sentetik ve selülozik boya,05
3598,950.0,Sentetik ve selülozik boya,05
9610,249.0,Sentetik ve selülozik boya,05
3597,950.0,Sentetik ve selülozik boya,05
9623,249.0,Sentetik ve selülozik boya,05
3695,360.0,Sentetik ve selülozik boya,05
12926,216.0,Sentetik ve selülozik boya,05
9598,599.0,Sentetik ve selülozik boya,05
12927,630.0,Sentetik ve selülozik boya,05
