product_id,price,category,tuik_code,change_1d,change_7d,change_15d
14935,4100.0,Testere ve kesiciler,05,0.0,0.0,0.0
14030,5750.0,Testere ve kesiciler,05,0.0,0.0,0.0
8005,5000.0,Ağaç kesme makineleri,05,0.0,0.0,0.0
2828,667.0,Fayans seramik granit taş,05,0.0,0.0,0.0
2829,579.0,Fayans seramik granit taş,05,0.0,0.0,0.0
3953,4.8,Asma tavan sistemleri,05,0.0,0.0,0.0
3945,5.04,Asma tavan sistemleri,05,0.0,0.0,0.0
3946,6.78,Asma tavan sistemleri,05,0.0,0.0,0.0
3947,8.34,Asma tavan sistemleri,05,0.0,0.0,0.0
3949,13.2,Asma tavan sistemleri,05,0.0,0.0,0.0
3950,15.0,Asma tavan sistemleri,05,0.0,0.0,0.0
3944,3.9,Asma tavan sistemleri,05,0.0,,
14889,290.0,Vidalar,05,0.0,0.0,0.0
412,729.0,Parke,05,0.0,0.0,0.0
413,799.0,Parke,05,0.0,0.0,0.0
411,629.0,Parke,05,0.0,0.0,0.0
404,629.0,Parke,05,0.0,0.0,0.0
478,785.0,Parke,05,0.0,0.0,0.0
476,785.0,Parke,05,0.0,0.0,0.0
523,785.0,Parke,05,0.0,0.0,0.0
524,785.0,Parke,05,0.0,0.0,0.0
14654,785.0,Parke,05,0.0,0.0,0.0
521,785.0,Parke,05,0.0,,
525,785.0,Parke,05,0.0,0.0,0.0
526,785.0,Parke,05,0.0,,
12126,785.0,Parke,05,0.0,0.0,0.0
469,750.0,Parke,05,0.0,0.0,0.0
465,750.0,Parke,05,0.0,0.0,0.0
468,750.0,Parke,05,0.0,0.0,0.0
467,750.0,Parke,05,0.0,0.0,0.0
12135,735.0,Parke,05,0.0,0.0,0.0
13707,725.0,Parke,05,0.0,0.0,0.0
12133,735.0,Parke,05,0.0,0.0,0.0
14356,735.0,Parke,05,0.0,0.0,0.0
12134,735.0,Parke,05,0.0,0.0,0.0
12125,735.0,Parke,05,0.0,0.0,0.0
485,629.0,Parke,05,0.0,0.0,0.0
487,800.0,Parke,05,0.0,0.0,0.0
490,800.0,Parke,05,0.0,,
489,800.0,Parke,05,0.0,0.0,0.0
491,800.0,Parke,05,0.0,0.0,0.0
492,800.0,Parke,05,0.0,0.0,0.0
488,800.0,Parke,05,0.0,0.0,0.0
11363,835.0,Parke,05,0.0,0.0,0.0
11365,835.0,Parke,05,0.0,0.0,0.0
11364,835.0,Parke,05,0.0,0.0,0.0
