2026-09-21 07:38:47 [INFO] ==================================================
2026-09-21 07:38:47 [INFO] Yapimaks Scraper basliyor (async)
2026-09-21 07:38:47 [INFO] ==================================================
2026-09-21 07:38:47 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-21 07:38:47 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-21 07:38:48 [INFO] Cookie basariyla alindi.
2026-09-21 07:38:48 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-21 07:38:49 [INFO] Sitemap'ten toplam 8389 urun URL'si bulundu.
2026-09-21 07:38:49 [INFO] Dunun dosyasi: 2026-09-20.csv
2026-09-21 07:38:49 [INFO] Dunun dosyasinda 8594 urun var.
2026-09-21 07:38:49 [INFO] GUNLUK BUTCE: 1224 urun aday — hepsi bu koşuda tazelenir.
2026-09-21 07:38:49 [INFO] Tasinacak (degismeyen) urun: 8594 | Yeniden cekilecek: 1224
2026-09-21 07:39:56 [INFO] [6645] 'ZIMPARA SU NO:220 NOBEL' | 14.00 TL | SKU: NOBEL.37403120230283
2026-09-21 07:39:57 [INFO] [15774] 'LAVABO KNİDOS LATTE 60 CM BATARYA DELİKS' | 5405.00 TL | SKU: EGEVİT.88601L
2026-09-21 07:39:58 [INFO] [8150] 'ZEMİN/KORUMA ÖRTÜSÜ KALIN 32 M2 KARDELEN' | 120.00 TL | SKU: KARDELEN.0062
2026-09-21 07:39:59 [INFO] [15771] 'AQUA RENO BANYO BEYAZ RENOVASYON BOYASI ' | 1100.00 TL | SKU: FİLLİ.RENO.3000.2515.11.00001
2026-09-21 07:40:01 [INFO] [9164] 'GAZLI PİSTON 080N KISA-STD' | 59.00 TL | SKU: STD.928831800
2026-09-21 07:40:02 [INFO] [9172] 'GAZLI PİSTON 080N-STD' | 59.00 TL | SKU: STD.936160800
2026-09-21 07:40:03 [INFO] [9173] 'GAZLI PİSTON 100N-STD' | 59.00 TL | SKU: STD.936161800
2026-09-21 07:40:04 [INFO] [6389] 'KAPI KOLU POLARİS AYNALI WC NİKEL SATEN' | 200.00 TL | SKU: NOBEL.2600393
2026-09-21 07:40:06 [INFO] [6783] 'ASPİRATÖR BORUSU ALÜMİNYUM 2 METRE 127 M' | 77.00 TL | SKU: NOBEL.706131272
2026-09-21 07:40:07 [INFO] [9118] 'MATKAP UÇLU VİDA RYSB 3.9x13 (2500 AD.)' | 1255.00 TL | SKU: STD.900158700
