2026-09-25 07:08:34 [INFO] ==================================================
2026-09-25 07:08:34 [INFO] Yapimaks Scraper basliyor (async)
2026-09-25 07:08:34 [INFO] ==================================================
2026-09-25 07:08:34 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-25 07:08:34 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-25 07:08:35 [INFO] Cookie basariyla alindi.
2026-09-25 07:08:35 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-25 07:08:36 [INFO] Sitemap'ten toplam 8370 urun URL'si bulundu.
2026-09-25 07:08:36 [INFO] Dunun dosyasi: 2026-09-24.csv
2026-09-25 07:08:36 [INFO] Dunun dosyasinda 8606 urun var.
2026-09-25 07:08:36 [WARNING] 186 urun 7+ gun sitemap'te gorunmuyor, dosyadan dusuruldu: ['https://yapimaks.com/agac-kesim-motorlu-benzinli-testere-41cc-1-9hp-kama-kmr41-p14029', 'https://yapimaks.com/agac-kesim-motorlu-test-elektrik-ex75043a-p3250', 'https://yapimaks.com/agac-kesim-motorlu-testere-46cc-kama-p11244', 'https://yapimaks.com/agac-kesim-motorlu-testere-factor-p14935', 'https://yapimaks.com/agt-supurgelik-6cm-anemon-spr-5030-p11373']...
2026-09-25 07:08:36 [INFO] GUNLUK BUTCE: 480 urun aday — hepsi bu koşuda tazelenir.
2026-09-25 07:08:36 [INFO] Tasinacak (degismeyen) urun: 8420 | Yeniden cekilecek: 480
2026-09-25 07:11:06 [INFO] [14750] 'ELDİVEN PU KAPLI KESİLMEYE DİRENÇLİ NO:1' | 179.00 TL | SKU: BEYBİ.İ04CU200B
2026-09-25 07:11:07 [INFO] [11054] 'FIRÇA KESTİRME LÜX NO:2 KARDELEN' | 40.00 TL | SKU: KARDELEN.0046
2026-09-25 07:11:09 [INFO] [14742] 'EL DUŞU BUSE DT023 GMS' | 215.00 TL | SKU: GMS.DT023
2026-09-25 07:11:10 [INFO] [13574] 'BİTS UÇ SETİ 25 MM 10 LU (STW01959)' | 90.00 TL | SKU: WONDER.STW01959
2026-09-25 07:11:11 [INFO] [4450] 'HORTUM HAVA 8 MM, 1M' | 36.00 TL | SKU: GÜNEŞ.0018.8
2026-09-25 07:11:12 [INFO] [683] 'KAPLİN 25 1/2 İÇ DİŞLİ ADAPTÖR A8003' | 38.00 TL | SKU: ARANGÜL.A8003
2026-09-25 07:11:14 [INFO] [699] 'KAPLİN MANŞON 25/25 A8202' | 49.00 TL | SKU: ARANGÜL.A8202
2026-09-25 07:11:15 [INFO] [10925] 'EL DUŞU FRAME GRİ DIAMOND' | 129.00 TL | SKU: DIAMOND.EDFR5013
2026-09-25 07:11:16 [INFO] [11636] 'HSS MATKAP UCU 4.5 MM 2 Lİ BLİSTER WONDE' | 115.00 TL | SKU: WONDER.STW013760-92
2026-09-25 07:11:17 [INFO] [9613] 'İÇ CEPHE BOYASI TEMPO SİL MAT BAZ-2 10 K' | 1250.00 TL | SKU: TEMPO.0024
