2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Yapimaks Scraper basliyor (async)
2026-09-19 07:02:58 [INFO] ==================================================
2026-09-19 07:02:58 [INFO] Parametreler: workers=8, rate=0.8/sn, max_duration=300 dk
2026-09-19 07:02:58 [INFO] Ana sayfa ziyaret ediliyor, cookie aliniyor...
2026-09-19 07:02:59 [INFO] Cookie basariyla alindi.
2026-09-19 07:02:59 [INFO] Sitemap indiriliyor: https://yapimaks.com/sitemap/products1.xml
2026-09-19 07:02:59 [INFO] Sitemap'ten toplam 8384 urun URL'si bulundu.
2026-09-19 07:02:59 [INFO] Dunun dosyasi: 2026-09-18.csv
2026-09-19 07:03:00 [INFO] Dunun dosyasinda 8586 urun var.
2026-09-19 07:03:00 [WARNING] GUNLUK BUTCE: 5617 urun cekilmeye aday, ilk 2500 tazelenecek; kalan 3117 yarin (en bayatlar önce) devam eder (self-heal).
2026-09-19 07:03:00 [INFO] Tasinacak (degismeyen) urun: 8586 | Yeniden cekilecek: 2500
2026-09-19 07:04:30 [INFO] [5054] 'DUŞ KANALI LİNEER 30 CM SERAMİK UYUMLU S' | 300.00 TL | SKU: LİNEER.DK130
2026-09-19 07:04:31 [INFO] [11100] 'EVİYE 420028 40X70 CUBİM U 70 P.ÇELİK 1M' | 4750.00 TL | SKU: PERA.00420028-35
2026-09-19 07:04:32 [INFO] [4555] 'HSS MATKAP UCU 12mm' | 120.00 TL | SKU: HSS.0012
2026-09-19 07:04:34 [INFO] [4574] 'HSS MATKAP UCU 15mm' | 215.00 TL | SKU: HSS.015
2026-09-19 07:04:35 [INFO] [7462] 'EVİYE 420144 50x100 XL 6S P.ÇELİK 0,6MM ' | 3750.00 TL | SKU: PERA.00420144.R
2026-09-19 07:04:36 [INFO] [4570] 'HSS MATKAP UCU 13mm' | 135.00 TL | SKU: HSS.013
2026-09-19 07:04:37 [INFO] [4576] 'HSS MATKAP UCU 16mm' | 260.00 TL | SKU: HSS.016
2026-09-19 07:04:39 [INFO] [11634] 'HSS MATKAP UCU 3.5 MM 2 Lİ BLİSTER WONDE' | 75.00 TL | SKU: WONDER.STW013760-9
2026-09-19 07:04:40 [INFO] [11631] 'HSS MATKAP UCU 2 MM 2 Lİ BLİSTER WONDER' | 32.50 TL | SKU: WONDER.STW013760-6
2026-09-19 07:04:41 [INFO] [11636] 'HSS MATKAP UCU 4.5 MM 2 Lİ BLİSTER WONDE' | 115.00 TL | SKU: WONDER.STW013760-92
2026-09-19 07:04:42 [INFO] [11635] 'HSS MATKAP UCU 4 MM 2 Lİ BLİSTER WONDER' | 90.00 TL | SKU: WONDER.STW013760-91
