kategori,product_name,product_price
"Süt, Kahvaltılık, Sark.",Eker Kaymak 200 Gr,"119,90"
"Süt, Kahvaltılık, Sark.",Eker Kaymaklı Yoğurt 500 Gr,"65,50"
"Süt, Kahvaltılık, Sark.",Eker Kefir 1 Lt,"90,50"
"Süt, Kahvaltılık, Sark.",Eker Kefir Ananas Muz 290 ml,"46,75"
"Süt, Kahvaltılık, Sark.",Eker Kefir Orman Meyveli 200 Ml,"36,00"
"Süt, Kahvaltılık, Sark.",Eker Kefir Pancar Limon Zencefil 290 ml,"46,75"
"Süt, Kahvaltılık, Sark.",Eker Orman Meyveli Kefir 1000 Ml,"115,75"
"Süt, Kahvaltılık, Sark.",Eker Orman Meyveli Probiyotik Yoğurt 400 Gr,"83,95"
"Süt, Kahvaltılık, Sark.",Eker Probiyotik İncir&Yulaflı Yoğurt 125 Gr,"33,50"
"Süt, Kahvaltılık, Sark.",Eker Probiyotik Yoğurt 500 Gr,"62,50"
"Süt, Kahvaltılık, Sark.",Eker Probiyotik Yoğurt 900 Gr,"107,95"
"Süt, Kahvaltılık, Sark.",Eker Şeftali & Kayısılı Yoğurt 65 Gr,"29,95"
"Süt, Kahvaltılık, Sark.",Eker Süzme Yoğurt 500 Gr,"89,90"
"Süt, Kahvaltılık, Sark.",Eker Süzme Yoğurt 900 Gr,"193,50"
"Süt, Kahvaltılık, Sark.",Eker Yoğurt Kova 2 Kg,"159,90"
"Süt, Kahvaltılık, Sark.",Enver Ağa 10lu L Yumurta,"69,95"
"Süt, Kahvaltılık, Sark.",Enver Ağa 15li L Yumurta,"122,90"
"Süt, Kahvaltılık, Sark.",Enver Ağa 20li L Yumurta,"129,90"
"Süt, Kahvaltılık, Sark.",Enver Ağa 30lu M Yumurta,"169,90"
"Süt, Kahvaltılık, Sark.",Enver Ağa 6lı L Yumurta,"49,90"
"Süt, Kahvaltılık, Sark.",Enver Ağa Organik 10lu M Boy Yumurta,"129,90"
"Süt, Kahvaltılık, Sark.",Erzincan Tulum Peyniri - 500 Gr.,"379,95"
"Süt, Kahvaltılık, Sark.","Eti Lifalif Granola Kuru Elmalı,Kuru Dutlu 200 Gr","162,50"
"Süt, Kahvaltılık, Sark.",Eti Lifalif Granola Kuru Vişneli Kakao Parçacıklı Fındıklı 200 Gr,"162,50"
"Süt, Kahvaltılık, Sark.",Eti Lifalif Granola Kuruyemişli 200 Gr,"162,50"
"Süt, Kahvaltılık, Sark.",Eti Lifalif İnce Öğütülmüş Yulaf Ezmesi 350 Gr,"87,50"
"Süt, Kahvaltılık, Sark.","Eti Lifalif İnce Öğütülmüş Yulaflı Kırmızı Meyveli, Bademli, Hibiskuslu Müsli","147,50"
"Süt, Kahvaltılık, Sark.",Eti Lifalif Kuru Meyveli&Fındıklı Müsli 350 Gr,"116,00"
"Süt, Kahvaltılık, Sark.",Eti Lifalif Yer Fıstık ve Hurmalı Müsli 350 Gr,"116,00"
"Süt, Kahvaltılık, Sark.",Eti Lifalif Yulaf Ezmesi 500 Gr,"87,50"
"Süt, Kahvaltılık, Sark.",Fiskobirlik Nuga Kakaolu Fındık Kreması 700 Gr,"329,95"
"Süt, Kahvaltılık, Sark.",Fiskobirlik Şeker İlavesiz Fındık Ezmesi 300 Gr,"409,95"
"Süt, Kahvaltılık, Sark.",Gold Fındık Ezmesi 340Gr,"159,50"
"Süt, Kahvaltılık, Sark.",Gold Kremfıstık Şeker İlavesiz 340Gr,"199,50"
"Süt, Kahvaltılık, Sark.",Gürmar Az Tuzlu İzmir Teneke Tulum Peyniri - 350 Gr.,"209,97"
"Süt, Kahvaltılık, Sark.",Gürmar Deri Mevsim Tulum Peyniri - 350 Gr.,"244,97"
"Süt, Kahvaltılık, Sark.",Gürmar Ekstra Klasik Beyaz Peynir - 350 Gr.,"174,97"
"Süt, Kahvaltılık, Sark.",Gürmar Eski Kaşar Peyn - 500 Gr.,"429,95"
"Süt, Kahvaltılık, Sark.",Gürmar İzmir Tulum Peyn - 350 Gr.,"202,97"
"Süt, Kahvaltılık, Sark.",Gürmar Lüks Klasik Beyaz Peynir - 350 Gr.,"157,47"
"Süt, Kahvaltılık, Sark.",Gürmar Lüks Mevsim Tulum Peyn - 500 Gr.,"339,95"
"Süt, Kahvaltılık, Sark.",Gürmar Mevsim Beyaz Peynir - 350 Gr.,"209,97"
"Süt, Kahvaltılık, Sark.",Gürmar Sakızlı Klasik İnek Peyniri (Yumuşak) - 350 Gr.,"157,47"
"Süt, Kahvaltılık, Sark.",Gürmar Sepet Loru - 500 Gr.,"139,95"
"Süt, Kahvaltılık, Sark.",Gürmar Tulum Loru - 500 Gr.,"114,95"
"Süt, Kahvaltılık, Sark.",Gürsüt Çeçil Peynir - 500 Gr.,"249,95"
"Süt, Kahvaltılık, Sark.",Gürsüt Çeçil Peyniri 500 Gr,"249,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Çökelek - 500 Gr.,"59,95"
"Süt, Kahvaltılık, Sark.",Gürsüt Dil Peyniri - 500 Gr.,"249,95"
"Süt, Kahvaltılık, Sark.",Gürsüt Dilim Peyniri 200Gr,"119,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Dilimli Kahvaltı Lezzetim 250Gr,"139,90"
"Süt, Kahvaltılık, Sark.",Gürsüt İzmir Tulum Peyniri 200 Gr,"159,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Jersey Pastörize Günlük Süt 3 lt,"299,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Kahvaltı Lezzetim - 500 Gr.,"249,95"
"Süt, Kahvaltılık, Sark.",Gürsüt Kahvaltı Lezzetim 1000Gr,"499,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Kahvaltı Lezzetim 250Gr,"139,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Kahvaltı Lezzetleri Çeçil Peyniri 200 gr,"119,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Klasik Beyaz Peynir 300 Gr,"199,90"
"Süt, Kahvaltılık, Sark.",Gürsüt Köy Taze Beyaz Peynir - 500 Gr.,"149,95"
