tarih,kategori,product_name,product_price,eski_fiyat,url
2026-02-24,Et ve Tavuk,Apikoğlu Dana Çemeni Sıyrılmış Pastırma 90 GR,"535,00",,https://www.gurmar.com.tr/apikoglu-dana-cemeni-siyrilmis-pastirma-90-gr-38557-p
2026-02-24,Et ve Tavuk,Apikoğlu Dana Kangal Sucuk - 500 Gr.,"1.199,50",,https://www.gurmar.com.tr/apikoglu-dana-kangal-sucuk-500-gr-38554-p
2026-02-24,Et ve Tavuk,Apikoğlu Dana Parmak Sucuk - 500 Gr.,"1.199,50",,https://www.gurmar.com.tr/apikoglu-dana-parmak-sucuk-500-gr-38555-p
2026-02-24,Et ve Tavuk,Apikoğlu Kurutulmuş Dana Füme Et 100 GR,"569,00",,https://www.gurmar.com.tr/apikoglu-kurutulmus-dana-fume-et-100-gr-38559-p
2026-02-24,Et ve Tavuk,Bolca Hindi Bonfile - 1 Kg.,"519,90",,https://www.gurmar.com.tr/bolca-hindi-bonfile-1-kg-14213-p
2026-02-24,Et ve Tavuk,Bolca Hindi Külbastı 500 gr,"189,90","229,95",https://www.gurmar.com.tr/bolca-hindi-kulbasti-500-gr-33736-p
2026-02-24,Et ve Tavuk,Bolca Tabaklı Alt But Kemiksiz Hindi - 1 Kg.,"539,90",,https://www.gurmar.com.tr/bolca-tabakli-alt-but-kemiksiz-hindi-1-kg-14214-p
2026-02-24,Et ve Tavuk,Çapanoğlu Çemeni Sıyrılmış Pastırma 80 Gr,"359,90",,https://www.gurmar.com.tr/capanoglu-cemeni-siyrilmis-pastirma-80-gr-37763-p
2026-02-24,Et ve Tavuk,Çapanoğlu Dana Kurutulmuş Füme Et 60 Gr,"299,90",,https://www.gurmar.com.tr/capanoglu-dana-kurutulmus-fume-et-60-gr-37507-p
2026-02-24,Et ve Tavuk,Çapanoğlu Fümechef Dana Füme Antrikot 100 Gr,"399,90",,https://www.gurmar.com.tr/capanoglu-fumechef-dana-fume-antrikot-100-gr-37510-p
2026-02-24,Et ve Tavuk,Cumhuriyet Acılı Parmak Sucuk - 500 Gr.,"1.099,50",,https://www.gurmar.com.tr/cumhuriyet-acili-parmak-sucuk-500-gr-29019-p
2026-02-24,Et ve Tavuk,Cumhuriyet Çemeni Sıyrılmış Pastırma 90 Gr,"399,90",,https://www.gurmar.com.tr/cumhuriyet-cemeni-siyrilmis-pastirma-90-gr-29020-p
2026-02-24,Et ve Tavuk,Cumhuriyet Kangal Fermente Sucuk - 500 Gr.,"1.099,50",,https://www.gurmar.com.tr/cumhuriyet-kangal-fermente-sucuk-500-gr-16873-p
