product_id,name,sku,marka_id,stok_durumu,birim,price,vat_rate,currency,url,scraped_at
11232,20 3/4 OYNAR BAŞLI REKOR DIŞ DİŞLİ ERKEK KALDE,KALDE.3252TUM200C00,141,Var,2,"96,00",20,TRY,https://yapimaks.com/20-3-4-oynar-basli-rekor-dis-disli-erkek-kalde-p11232,2026-03-23 22:29:46
4773,20/45 DİRSEK PPRC KALDE,KALDE.3212ELB200045,141,Var,2,"5,00",20,TRY,https://yapimaks.com/20-45-dirsek-pprc-kalde-p4773,2026-03-23 22:29:48
4772,20/90 DİRSEK KAPALI PPRC KALDE,KALDE.3212ELB200000,141,Var,2,"4,00",20,TRY,https://yapimaks.com/20-90-dirsek-kapali-pprc-kalde-p4772,2026-03-23 22:29:50
4769,20 C KAVİS PPRC KALDE,KALDE.3202TWC200001,141,Var,2,"14,00",20,TRY,https://yapimaks.com/20-c-kavis-pprc-kalde-p4769,2026-03-23 22:29:53
4854,20 ÇİFTLİ KELEPÇE PPRC KALDE,KALDE.3592BCK202200,141,Var,2,"5,00",20,TRY,https://yapimaks.com/20-ciftli-kelepce-pprc-kalde-p4854,2026-03-23 22:29:55
4812,20 FİLTRE DİŞİ PPRC KALDE,KALDE.3222FLT200001,141,Var,2,"54,00",20,TRY,https://yapimaks.com/20-filtre-disi-pprc-kalde-p4812,2026-03-23 22:29:57
4847,20 KAPAMA BAŞLIĞI PPRC KALDE,KALDE.3292STE200000,141,Var,2,"4,00",20,TRY,https://yapimaks.com/20-kapama-basligi-pprc-kalde-p4847,2026-03-23 22:29:59
4855,20 KELEPÇE PPRC KALDE,KALDE.3592BCK202201,141,Var,2,"3,00",20,TRY,https://yapimaks.com/20-kelepce-pprc-kalde-p4855,2026-03-23 22:30:01
4766,20 KOMPOZİT BORU PPRC 4 M KALDE,KALDE.3202TFR200020,141,Var,2,"93,00",20,TRY,https://yapimaks.com/20-kompozit-boru-pprc-4-m-kalde-p4766,2026-03-23 22:30:03
4851,20 KÖRTAPA DİŞLİ PPRC KALDE,KALDE.3295STE200B00,141,Var,2,"2,00",20,TRY,https://yapimaks.com/20-kortapa-disli-pprc-kalde-p4851,2026-03-23 22:30:05
4832,20 KÜRESEL VANA PPRC KALDE,KALDE.3242VLB200003,141,Var,2,"84,00",20,TRY,https://yapimaks.com/20-kuresel-vana-pprc-kalde-p4832,2026-03-23 22:30:07
4780,20 MANŞON PPRC KALDE,KALDE.3212MUF200000,141,Var,2,"3,00",20,TRY,https://yapimaks.com/20-manson-pprc-kalde-p4780,2026-03-23 22:30:09
4762,20 PPRC BORU 4 MT KALDE,KALDE.3202TBE200000,141,Var,2,"102,00",20,TRY,https://yapimaks.com/20-pprc-boru-4-mt-kalde-p4762,2026-03-23 22:30:11
4789,20 TE PPRC KALDE,KALDE.3212TEO200000,141,Var,2,"6,00",20,TRY,https://yapimaks.com/20-te-pprc-kalde-p4789,2026-03-23 22:30:13
4801,25 1/2 BATARYA BAĞLANTISI ÇİFTLİ KALDE,KALDE.3222BAT250B04,141,Var,2,"120,00",20,TRY,https://yapimaks.com/25-1-2-batarya-baglantisi-ciftli-kalde-p4801,2026-03-23 22:30:15
