product-name;product-price;product-id
Eti Lifalif Granola Kuru Vişneli  Kakao Parçacıklı  Fındıklı 200 Gr;180.0;6190
Eti Lifalif Granola Kuruyemişli 200 Gr;180.0;6191
Eti Lifalif İnce Öğütülmüş Yulaf Ezmesi 350 Gr;100.0;9325
Eti Lifalif İnce Öğütülmüş Yulaflı Kırmızı Meyveli, Bademli, Hibiskuslu Müsli;170.0;5112
Eti Lifalif Kuru Meyveli&Fındıklı Müsli 350 Gr;135.0;663
Eti Lifalif Yer Fıstık ve Hurmalı Müsli 350 Gr;135.0;4349
Eti Lifalif Yulaf Ezmesi 500 Gr;84.95;1308
Happy Life Organik Yulaf Ezmesi 400 Gr;89.95;13470
Harfler Çikolatalı Tahıl Gevreği 310 gr;175.95;1705
Hünnap Glutensiz İnce Kıyım Yulaf Ezmesi 300 Gr;109.95;12678
Hünnap Glutensiz Yulaf Ezmesi 300 Gr;109.95;12677
Hünnap Good Keçi Sütlü Çikolatalı Gevrek 240 Gr;129.95;12676
Hünnap Good Keçi Sütlü Şekersiz Kakaolu Kahvaltılık Gevrek 240 Gr;129.95;12688
Kellogg's  Hurmalı ve Bademli Şeker İlavesiz Granola 250 Gr;204.95;11928
Kelloggs Corn Flakes 400 gr 10 Adet;177.95;7408
Kellogg's Special K Kırmızı Meyveli 400 g;239.95;7448
Kellogg's Turna Yenişi Kabak Çekirdeği ve Kajulu Şeker İlavesiz Granola 250 Gr;204.95;11929
Kellogs Granola Çikolata Parçacıklı ve Fındıklı Müsli 340 Gr;234.95;5055
Kellogs Granola Karışık Meyveli Müsli 340 Gr;234.95;5054
Nesfit Karamelli Gevrek Bar 16 Lı 23.5 Gr;49.5;12925
Nesfit Karışık Meyveli Kahvaltılık Gevrek 400 gr;234.95;1257
Nesfit Kırmızı Meyveli 400 Gr;234.95;1258
Nesfit Sade Mısır Gevreği 420 Gr;139.95;8455
Nesquik Duo Mısır Gevreği 30 gr;175.95;590
Nesquık Mısır Gevreği 1x450g Tr;119.95;8088
Nesquik Mısır Gevreği 225 gr;129.95;6938
Nestle Nesfit Çikolatalı Kahvaltılık Gevrek 400 Gr;234.95;10712
Nestle Nesfit Sade 700 Gr;99.95;13161
Special K Çikolatalı 400 gr;239.95;8658
Ülker Coco Pops Mısır Gevreği 700 Gr;249.95;9564
Ülker Kellogs Coco Pops 450 Gr;194.95;7409
Tukaş Kahvaltılık Sos 300 Gr;64.9;1621
Tukaş Paprika Sos 350 Gr;79.9;903
Uğurhan Acılı Ezme 220 Gr;92.9;12148
Çokokrem Canım Annem 650 gr;270.0;4344
Çokokrem Tüp 40 Gr;30.0;8415
Fiskobirlik Fındık Ezmesi 300 g;359.95;6807
Fiskobirlik Şeker İlavesiz Fındık Ezmesi 300 Gr;409.95;5440
Fitnut Crunchy Yer Fıstığı Ezmesi 360 Gr;299.95;13229
Fitnut Yer Fıstığı Ezmesi 360 Gr;299.95;13228
Gold Fındık Ezmesi 340Gr;159.5;8554
Gold Kremfıstık Şeker İlavesiz 340Gr;199.5;10587
Kakaolu Fındık Ezmesi 350 Gr;198.0;6861
Kakaolu Fındık Ezmesi Şekersiz 350 gr;275.0;4113
Kakaolu Fındık Kreması 700 gr;299.95;954
Master Nut Antepfıstığı Ezmesi 200 Gr;350.0;12257
Milka Kakaolu Fındık Ezmesi 350 Gr;239.9;12619
Nuga Sütlü %20 Fındık Kreması Cam Kavanoz;244.95;6493
Nutella 400 Gr;183.5;8359
Nutella Kakaolu Fındık Kreması (750 g);314.95;1916
Sarelle Bitter Kakaolu Fındık Ezmesi 350 Gr;214.95;3393
Sarelle Duo Sütlü Kakaolu Fındık Kreması 350 Gr;208.5;5158
Sarelle Fındık Ezmesi 350 Gr;360.0;10921
Sarelle Kakaolu Fındık Ezmesi 700 Gr;345.0;6919
Torku Banada Kakaolu Fındık Kreması 400 Gr;162.95;165
Ülker Golden Fındık Ezmesi 350 Gr;275.0;13195
Züber Kakaolu Fındık Kreması 315g;385.0;12238
Züber %100 Fıstık Ezmesi 315 Gr;399.95;3253
Züber Antep Fıstığı Kreması 200 Gr;349.9;3254
Züber Original Fıstık Ezmesi 315g;399.95;12243
Ülker Çokokrem 400 Gr;94.95;7067
Koska Diyabetik Çilek Reçeli 240 Gr;169.95;1662
Koska Diyabetik Vişne Reçeli 240 Gr;189.95;1661
Koska Ekstra Geleneksel Ahududu Reçeli 380 Gr;185.95;7259
Koska Ekstra Geleneksel Ayva Reçeli 380 Gr;115.95;7263
Koska Ekstra Geleneksel Böğürtlen Reçeli 380 Gr;169.95;6863
Koska Ekstra Geleneksel Çilek Reçeli 380 Gr;126.95;7257
Koska Ekstra Geleneksel İncir Reçeli 380 Gr;115.95;799
Koska Ekstra Geleneksel Kayısı Reçeli 380 Gr;162.95;6858
Tukaş Ahududu Reçeli 380 Gr;89.95;7884
Tukaş Böğürtlen Reçeli 380 Gr;89.95;7561
Tukaş Çilek Reçeli 380 Gr;83.95;7882
Yenigün Çilek Reçeli 380 gr;149.9;11247
Yenigün Geleneksel Ahududu Reçeli 380 gr;159.9;3843
Yenigün Geleneksel Cevizli İncir Reçeli 380 gr;159.9;3841
Yenigün Geleneksel Gül Reçeli 380 gr;149.9;3840
Yenigün Geleneksel Karadut Reçeli 380 gr;159.9;3844
Yenigün Geleneksel Yeşil İncir Reçeli 380 gr;149.9;3842
Yenigün Kayısı Reçeli 380 gr;149.95;11245
Yenigün Kızılcık Marmelatı 380 Gr;159.9;3459
Yenigün Kuşburnu Marmelatı 380 Gr;159.9;3458
Yenigün Organik Vişne Reçeli 290 Gr;399.9;5291
Yenigün Şeker İlavesiz Çilek Reçeli 290 Gr;258.9;5295
Yenigün Şeker İlavesiz Karışık Reçel 290 Gr;299.9;5296
Yenigün Şeker İlavesiz Vişne Reçeli 290 Gr;328.9;5294
Yenigün Süt Reçeli 250 Gr;149.9;5297
Yenigün Vişne Reçeli 380 gr;184.9;11246
SüperFresh Aile Boyu Mantı 1000 Gr;419.9;11616
Becel Tereyağ Keyfi Kase Margarin 500 Gr;142.0;661
Becel Tereyağı Keyfi Kase Margarin (250 g);73.5;660
Kase 500 Gr;142.0;8207
Kase Margarin Klasik 250 Gr;73.5;1018
Klasik Paket Margarin 250 Gr;41.2;10656
Margarin Kase Zeytinyağlı 500 Gr;162.75;1051
Margarin Zeytinyağlı Kase 250 Gr;85.5;7951
Sana Ekmeküstü Kase Margarin 250 Gr;82.5;1704
Sana Ekmeküstü Kase Margarin 500 Gr;124.2;752
Sana Hamur İşleri Paket Margarin 250 Gr;66.5;2792
Sana Kase Margarin 500 Gr;102.32;2260
Sana Klasik Kase Margarin 250 GR;69.9;7530
Sana Tereyağ Lezzeti Kase Margarin 500 Gr;79.92;6452
Sana Tereyağ Lezzeti Paket Margarin 250 Gr;59.75;768
Teremyağ Bitkisel Margarin 250 Gr;62.0;8188
Teremyağ Paket Margarin 3X250 G;76.5;8209
Beypazarı Yaprak Sarma Meze - 500 Gr.;497.5;9876
Hüseyin Usta Adıyaman Etsiz Çiğ Köfte 1000 Gr;159.9;2339
Hüseyin Usta Adıyaman Etsiz Çiğ Köfte 500 Gr;85.0;2338
Hüseyin Usta Adıyaman Etsiz Çiğ Köfte Dürüm 180 Gr;39.0;4629
İzmir Meze Acılı Ezme 200 Gr;129.95;9623
İzmir Meze Arnavut Ciğeri 200 Gr;199.95;9624
İzmir Meze Atom 200 Gr;129.95;9622
İzmir Meze Havuç Tarator 200 Gr;129.95;3196
İzmir Meze Haydari 200 Gr;129.95;9620
İzmir Meze Patlıcan Ezme 200 Gr;129.95;9618
İzmir Meze Patlıcan Salatası 200 Gr;129.95;9617
İzmir Meze Rus Salatası 200 Gr;129.95;9614
İzmir Meze Vakumlu Çiğköfte Dürüm 180 Gr;54.95;9625
İzmir Meze Yoğurtlu Közlenmiş Biber 200 Gr;129.95;9619
Yayla Meksika Soslu Pilaki 400 Gr;94.95;2777
Eker Kaşar Peyniri 400 Gr;199.9;2817
Eker Kaşar Peyniri 600 Gr;359.9;8860
Erzincan Tulum Peyniri - 500 Gr.;399.95;5130
Gürmar Az Tuzlu İzmir Teneke Tulum Peyniri - 350 Gr.;244.97;1656
Gürmar Deri Mevsim Tulum Peyniri - 350 Gr.;297.47;8493
Gürmar Ekstra Klasik Beyaz Peynir - 350 Gr.;209.97;11662
Gürmar Eski Kaşar Peyn - 500 Gr.;449.95;2606
Gürmar İzmir Tulum Peyn - 350 Gr.;237.97;8498
Gürmar Lüks Klasik Beyaz Peynir - 350 Gr.;209.97;8645
