name,price,url,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Palma Masa Lambası Gövde L Natural,6950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-l-natural-8682313394650/,8682313394650.0,05,0.0,0.0,,
Palma Masa Lambası Gövde L Natural,6950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-l-natural-8682313394650/,8682313394650.0,05,0.0,0.0,,
Palma Masa Lambası Gövde L Natural,6950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-l-natural-8682313394650/,8682313394650.0,05,0.0,0.0,,
Palma Masa Lambası Gövde L Natural,6950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-l-natural-8682313394650/,8682313394650.0,05,0.0,0.0,,
Palma Masa Lambası Gövde L Natural,6950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-l-natural-8682313394650/,8682313394650.0,05,0.0,0.0,,
Palma Masa Lambası Gövde L Natural,6950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-l-natural-8682313394650/,8682313394650.0,05,0.0,0.0,,
Palma Masa Lambası Gövde L Natural,6950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-l-natural-8682313394650/,8682313394650.0,05,0.0,0.0,,
Palma Masa Lambası Gövde L Natural,6950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-l-natural-8682313394650/,8682313394650.0,05,0.0,0.0,,
Palma Masa Lambası Gövde L Natural,6950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-l-natural-8682313394650/,8682313394650.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palma Masa Lambası Gövde XL Natural,7950.0,https://www.chakra.com.tr/palma-masa-lambasi-govde-xl-natural-8682313394681/,8682313394681.0,05,0.0,0.0,,
Palmira Masa Lambası Gövde M Natural,5950.0,https://www.chakra.com.tr/palmira-masa-lambasi-govde-m-natural-8682313394636/,8682313394636.0,05,0.0,0.0,,
Palmira Masa Lambası Gövde M Natural,5950.0,https://www.chakra.com.tr/palmira-masa-lambasi-govde-m-natural-8682313394636/,8682313394636.0,05,0.0,0.0,,
Palmira Masa Lambası Gövde M Natural,5950.0,https://www.chakra.com.tr/palmira-masa-lambasi-govde-m-natural-8682313394636/,8682313394636.0,05,0.0,0.0,,
Palmira Masa Lambası Gövde M Natural,5950.0,https://www.chakra.com.tr/palmira-masa-lambasi-govde-m-natural-8682313394636/,8682313394636.0,05,0.0,0.0,,
Palmira Masa Lambası Gövde M Natural,5950.0,https://www.chakra.com.tr/palmira-masa-lambasi-govde-m-natural-8682313394636/,8682313394636.0,05,0.0,0.0,,
Palmira Masa Lambası Gövde M Natural,5950.0,https://www.chakra.com.tr/palmira-masa-lambasi-govde-m-natural-8682313394636/,8682313394636.0,05,0.0,0.0,,
