date,product_id,product_name,category,tuik_category,price,relative_1d,relative_7d,relative_15d,relative_30d,sector
2026-09-06,phixi force cb464l 1 m,phixi force cb464l 1 m,epeykatfg,08,,,,19.27443699409612,19.27443699409612,epeykatfg
2026-09-06,phixi force cb631 1 m,phixi force cb631 1 m,epeykatfg,08,,,,0.7691390412592369,1.5776662559725985,epeykatfg
2026-09-06,phixi qch220,phixi qch220,epeykatfg,08,,,,11.354365911552545,11.354365911552545,epeykatfg
2026-09-06,phixi s90,phixi s90,epeykatfg,08,,,,31.5321823304197,15.74597927658763,epeykatfg
2026-09-06,phixi ultimate upd4145,phixi ultimate upd4145,epeykatfg,08,,,,29.089709762532976,29.089709762532976,epeykatfg
2026-09-06,pierre cardin pc b20001,pierre cardin pc b20001,epeykatfg,13,,,,,,epeykatfg
2026-09-06,pierre cardin pc e12001,pierre cardin pc e12001,epeykatfg,13,,,,,,epeykatfg
2026-09-06,pierre cardin pc m10004,pierre cardin pc m10004,epeykatfg,06,,,,-41.51117061333779,-41.51117061333779,epeykatfg
2026-09-06,pierre cardin pc m20001,pierre cardin pc m20001,epeykatfg,06,,,,0.0,0.0,epeykatfg
2026-09-06,pierre cardin pc m20002,pierre cardin pc m20002,epeykatfg,06,,,,-7.698229407236335,-7.698229407236335,epeykatfg
2026-09-06,piranha 2325,piranha 2325,epeykatfg,08,,,,0.0,-3.408540718504882,epeykatfg
2026-09-06,pirantech cb702,pirantech cb702,epeykatfg,05,,,,-4.999999999999993,-4.999999999999993,epeykatfg
2026-09-06,pirantech es 07 panda,pirantech es 07 panda,epeykatfg,05,,,,33.01520608243298,33.01520608243298,epeykatfg
2026-09-06,pirantech kt 703,pirantech kt 703,epeykatfg,05,,,,0.8190208422468093,0.10013047304062717,epeykatfg
2026-09-06,platoon pl 9031,platoon pl 9031,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,plusmed fasttest hblyzer,plusmed fasttest hblyzer,epeykatfg,06,,,,-0.7272727272727209,-2.9333333333333322,epeykatfg
2026-09-06,plusmed oxycheck,plusmed oxycheck,epeykatfg,06,,,,-0.16233766233766378,-2.241297091082506,epeykatfg
2026-09-06,plusmed vivocare steamy,plusmed vivocare steamy,epeykatfg,06,,,,0.0,2.6615969581748944,epeykatfg
2026-09-06,pluzz sarjli tasinabilir beyaz,pluzz sarjli tasinabilir beyaz,epeykatfg,13,,,,,25.0,epeykatfg
2026-09-06,polar grit x2 pro titan,polar grit x2 pro titan,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,polosmart pbs227,polosmart pbs227,epeykatfg,08,,,,,,epeykatfg
2026-09-06,polosmart pbs811,polosmart pbs811,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,polosmart pssw08,polosmart pssw08,epeykatfg,08,,,,11.111111111111116,11.111111111111116,epeykatfg
2026-09-06,polygold pg 898,polygold pg 898,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,porland deluxe 15 parca celik tencere seti,porland deluxe 15 parca celik tencere seti,epeykatfg,05,,,,0.0,-2.2229249011857743,epeykatfg
2026-09-06,power boost vk g3903s,power boost vk g3903s,epeykatfg,08,,,,0.7357476429641352,-19.509984246979208,epeykatfg
2026-09-06,powercolor fighter radeon rx 6500 xt 4gb gddr6,powercolor fighter radeon rx 6500 xt 4gb gddr6,epeykatfg,08,,,,,6.0006000600060005,epeykatfg
2026-09-06,powertec tr 1005,powertec tr 1005,epeykatfg,13,,,,1.2917563719702763,36.24474544605325,epeykatfg
2026-09-06,preo pr1d 2600w,preo pr1d 2600w,epeykatfg,05,,,,0.0,0.0,epeykatfg
2026-09-06,prima premium care 0 beden 60 adet,prima premium care 0 beden 60 adet,epeykatfg,13,,,,21.943887775551097,21.943887775551097,epeykatfg
2026-09-06,prima premium care 4 beden 168 adet,prima premium care 4 beden 168 adet,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,prima premium care kulot bez 4 beden 44 adet,prima premium care kulot bez 4 beden 44 adet,epeykatfg,13,,,,0.0,21.995286724273356,epeykatfg
2026-09-06,profilo bd2086idan,profilo bd2086idan,epeykatfg,05,,,,-1.4863054480500182,-1.5981003316985376,epeykatfg
2026-09-06,profilo bd2086wdan,profilo bd2086wdan,epeykatfg,05,,,,0.901916572717032,0.901916572717032,epeykatfg
2026-09-06,profilo bd3086wecn,profilo bd3086wecn,epeykatfg,05,,,,6.556662332523033,6.855076078822653,epeykatfg
2026-09-06,profilo df1033levv,profilo df1033levv,epeykatfg,05,,,,10.09320799682245,8.896542692509168,epeykatfg
2026-09-06,profilo ss1162,profilo ss1162,epeykatfg,05,,,,0.0,-0.3425596053713398,epeykatfg
2026-09-06,profitness 1050d,profitness 1050d,epeykatfg,09,,,,-0.9696969696969648,2.291223237761364,epeykatfg
2026-09-06,proforce hera,proforce hera,epeykatfg,09,,,,27.275206836985188,12.000960076806155,epeykatfg
2026-09-06,promate dijital baskul hassas akilli vucut kitle indeksi olcer,promate dijital baskul hassas akilli vucut kitle indeksi olcer,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,pulsemed rj 206d,pulsemed rj 206d,epeykatfg,06,,,,0.0,0.0,epeykatfg
2026-09-06,pure baby organik bambulu kulot bez 6 beden 128 adet,pure baby organik bambulu kulot bez 6 beden 128 adet,epeykatfg,13,,,,0.0,4.499999999999993,epeykatfg
2026-09-06,qu hs150,qu hs150,epeykatfg,13,,,,-9.999999999999998,2.2727272727272707,epeykatfg
2026-09-06,rado rd 3835,rado rd 3835,epeykatfg,13,,,,34.87143970219031,34.87143970219031,epeykatfg
2026-09-06,rainwater rnw 3100,rainwater rnw 3100,epeykatfg,05,,,,0.0,0.0,epeykatfg
2026-09-06,raks cf 20 sa,raks cf 20 sa,epeykatfg,05,,,,22.199999999999996,25.89815789473684,epeykatfg
2026-09-06,raks perge 2300 w,raks perge 2300 w,epeykatfg,05,,,,38.039439839954284,38.039439839954284,epeykatfg
2026-09-06,raks pf 56 kosta,raks pf 56 kosta,epeykatfg,05,,,,-7.687557888237107,-12.970078006752816,epeykatfg
2026-09-06,raks sera,raks sera,epeykatfg,13,,,,0.0,0.0,epeykatfg
2026-09-06,rampage umbra kb r86 red,rampage umbra kb r86 red,epeykatfg,08,,,,-0.6008048064384486,8.13577023498695,epeykatfg
2026-09-06,raynox rx km101,raynox rx km101,epeykatfg,08,,,,0.0,0.0,epeykatfg
2026-09-06,rbt dh 850,rbt dh 850,epeykatfg,05,,,,-29.951627568648842,-29.951627568648842,epeykatfg
2026-09-06,redmi pad pro 6gb 126 gb,redmi pad pro 6gb 126 gb,epeykatfg,08,,,,0.7893254739552269,-1.9953800733752969,epeykatfg
2026-09-06,redmi pad se 8 gb 256 gb,redmi pad se 8 gb 256 gb,epeykatfg,08,,,,0.0,,epeykatfg
2026-09-06,regal km 101132,regal km 101132,epeykatfg,05,,,,1.268256635075149,,epeykatfg
2026-09-06,regal km 8202,regal km 8202,epeykatfg,05,,,,-2.0000000000000018,-2.0000000000000018,epeykatfg
2026-09-06,remetta tostcu plus,remetta tostcu plus,epeykatfg,05,,,,0.0,0.0,epeykatfg
2026-09-06,remington pg2000 g2,remington pg2000 g2,epeykatfg,13,,,,-14.000000000000002,53.45894142050804,epeykatfg
2026-09-06,remington s2412 air plates compact,remington s2412 air plates compact,epeykatfg,13,,,,12.697996548032586,12.697996548032586,epeykatfg
2026-09-06,remington s8901 hydraluxe,remington s8901 hydraluxe,epeykatfg,13,,,,4.213733427216582,8.437792978922886,epeykatfg
2026-09-06,remington sonicfresh total clean,remington sonicfresh total clean,epeykatfg,13,,,,2.134997739924094,2.134997739924094,epeykatfg
2026-09-06,renz rz 1000,renz rz 1000,epeykatfg,06,,,,,0.0,epeykatfg
2026-09-06,rks ys8,rks ys8,epeykatfg,09,,,,0.0,0.0,epeykatfg
