product-name,product-price,Ana Kategori,Kategori ID,Stok Kodu,Fiyat,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d
AÇIK GRİ V YAKA KOLSUZ BLUZ,₺25.950,Kadin,301,M404576994-0047,25950.0,03,0.0,0.0,0.0
EKRU BOL PAÇA PANTOLON,₺30.950,Kadin,301,M404480393-0027,30950.0,03,0.0,0.0,0.0
GRİ BOL PAÇA PANTOLON,₺25.950,Kadin,301,M404644535-0004-0038,25950.0,03,0.0,0.0,0.0
GRİ FERMUARLI HIRKA,₺40.950,Kadin,301,M404644534-0004-0009,40950.0,03,0.0,0.0,0.0
KOYU MAVİ İPEK BLUZ,₺25.950,Kadin,301,M404634825-0042-0004,25950.0,03,0.0,0.0,0.0
BEJ BOL PAÇA PANTOLON,₺17.950,Kadin,301,M404908953-0021,17950.0,03,0.0,0.0,0.0
BEJ YELEK,₺25.950,Kadin,301,M404908952-0021,25950.0,03,0.0,0.0,0.0
BEYAZ-BEJ ÇİZGİLİ TRİKO,₺25.950,Kadin,301,M404497949-0012-0021,25950.0,03,0.0,0.0,0.0
VİZON FERMUARLI SWEATSHIRT,₺40.950,Kadin,301,M404402060-0022,40950.0,03,0.0,0.0,0.0
BEJ YELEK,₺60.950,Kadin,301,M404480373-0021,60950.0,03,0.0,0.0,0.0
BEJ KETEN PANTOLON,₺30.950,Kadin,301,M404480411-0021,30950.0,03,0.0,0.0,0.0
BEJ TRİKO,₺25.950,Kadin,301,M404401671-0021-0012,25950.0,03,0.0,0.0,0.0
BEJ DÜZ KESİM PANTOLON,₺15.950,Kadin,301,M301525429-0021-0027,15950.0,03,0.0,0.0,0.0
BEJ KAPÜŞONLU YELEK,₺35.950,Kadin,301,M404564780-0021,35950.0,03,0.0,0.0,0.0
EKRU-BEJ V YAKA TRİKO,₺12.950,Kadin,301,M405300105-0027-0021,12950.0,03,0.0,0.0,0.0
EKRU MONT,₺42.950,Kadin,301,M404832401-0027,42950.0,03,0.0,0.0,0.0
BEJ BOL KESİM PANTOLON,₺25.950,Kadin,301,M404480372-0021,25950.0,03,0.0,0.0,0.0
BEJ KISA KOLLU GÖMLEK,₺30.950,Kadin,301,M404480371-0021,30950.0,03,0.0,0.0,0.0
EKRU KRUVAZE YAKA CEKET,₺35.950,Kadin,301,M405124253-0027,35950.0,03,0.0,0.0,0.0
KAZAK,₺20.950,Kadin,301,M404810536-0021,20950.0,03,0.0,0.0,
EKRU TRİKO,₺40.950,Kadin,301,M404644541-0027,40950.0,03,0.0,0.0,0.0
PUDRA DAR PAÇA PANTOLON,₺20.950,Kadin,301,M404810534-0071,20950.0,03,0.0,0.0,0.0
BEJ KRUVAZE CEKET,₺52.950,Kadin,301,M404634847-0021,52950.0,03,0.0,0.0,0.0
BEJ BOL PAÇA PANTOLON,₺35.950,Kadin,301,M404634848-0021,35950.0,03,0.0,0.0,0.0
BEJ KISA KOLLU TRİKO,₺8.950,Kadin,301,M405311836-0021,8950.0,03,0.0,0.0,0.0
BEJ CEKET,₺55.950,Kadin,301,M404634851-0021-0012,55950.0,03,0.0,0.0,0.0
BEYAZ ÇİZGİLİ PANTOLON,₺35.950,Kadin,301,M404634850-0012-0014,35950.0,03,0.0,0.0,0.0
BEYAZ ÇİZGİLİ GÖMLEK,₺35.950,Kadin,301,M404634849-0012-0014,35950.0,03,0.0,0.0,0.0
BEYAZ V YAKA T-SHIRT,₺15.950,Kadin,301,M404402062-0012-0021,15950.0,03,0.0,0.0,0.0
EKRU BOL KESİM ÇİZGİLİ PANTOLON,₺35.950,Kadin,301,M404480366-0027-0021,35950.0,03,0.0,0.0,0.0
EKRU ÇİZGİLİ CEKET,₺55.950,Kadin,301,M404480365-0027-0021,55950.0,03,0.0,0.0,0.0
VİZON KOLSUZ T-SHIRT,₺15.950,Kadin,301,M404402064-0022,15950.0,03,0.0,0.0,0.0
HAKİ-BEJ ELBİSE,₺25.950,Kadin,301,M404509400-0031-0021,25950.0,03,0.0,0.0,0.0
BEJ ŞAPKA,₺15.950,Kadin,301,M404644547-0021-0012,15950.0,03,0.0,0.0,0.0
KAZAK,₺25.950,Kadin,301,M404644524-0012-0027,25950.0,03,0.0,0.0,0.0
BEJ BOL KESİM PANTOLON,₺35.950,Kadin,301,M404634852-0021,35950.0,03,0.0,0.0,0.0
HAKİ POLO YAKA TRİKO,₺10.950,Kadin,301,M405311838-0031,10950.0,03,0.0,0.0,0.0
GÖMLEK,₺35.950,Kadin,301,M405092254-0022,35950.0,03,0.0,0.0,0.0
HAKİ YELEK,₺45.950,Kadin,301,M404480394-0031,45950.0,03,0.0,0.0,0.0
HAKİ MİDİ ETEK,₺45.950,Kadin,301,M404634846-0031,45950.0,03,0.0,0.0,0.0
KAZAK,₺40.950,Kadin,301,M404644545-0031-0021,40950.0,03,0.0,0.0,0.0
YEŞİL ÇİZGİLİ TRİKO,₺8.950,Kadin,301,M405282170-0029-0037,8950.0,03,0.0,0.0,0.0
HAKİ-BEJ DESENLİ ETEK,₺25.950,Kadin,301,M404509402-0031-0021,25950.0,03,0.0,0.0,0.0
BEYAZ-HAKİ T-SHIRT,₺23.950,Kadin,301,M404644533-0012-0031,23950.0,03,0.0,0.0,0.0
HAKİ V YAKA T-SHIRT,₺23.950,Kadin,301,M404644532-0031,23950.0,03,0.0,0.0,0.0
HAKİ İPEK BLUZ,₺40.950,Kadin,301,M404634855-0031,40950.0,03,0.0,0.0,0.0
HAKİ BOL KESİM İPEK PANTOLON,₺40.950,Kadin,301,M404634854-0031,40950.0,03,0.0,0.0,0.0
HAKİ İPEK ELBİSE,₺72.950,Kadin,301,M404634845-0031,72950.0,03,0.0,0.0,0.0
KAHVE BOL PAÇA PANTOLON,₺32.950,Kadin,301,M404480400-0014,32950.0,03,0.0,0.0,0.0
KAHVE KOLSUZ GÖMLEK,₺30.950,Kadin,301,M404480399-0014,30950.0,03,0.0,0.0,0.0
KAHVE BOL KESİM KETEN PANTOLON,₺32.950,Kadin,301,M404480389-0014,32950.0,03,0.0,0.0,0.0
ATLET,₺4.950,Kadin,301,M405261211-0022,4950.0,03,0.0,0.0,0.0
VİZON UZUN ELBİSE,₺35.950,Kadin,301,M404497956-0022,35950.0,03,0.0,0.0,0.0
BEJ UZUN ELBİSE,₺40.950,Kadin,301,M404497948-0021,40950.0,03,0.0,0.0,0.0
BEJ ASİMETRİK MİDİ ETEK,₺30.950,Kadin,301,M404480369-0021,30950.0,03,0.0,0.0,0.0
EKRU KOLSUZ BLUZ,₺25.950,Kadin,301,M404480409-0027,25950.0,03,0.0,0.0,0.0
BLUZ,₺35.950,Kadin,301,M404634823-0071,35950.0,03,0.0,0.0,0.0
EKRU ASKILI İPEK BLUZ,₺12.950,Kadin,301,M301429642-0027,12950.0,03,0.0,0.0,0.0
EKRU DANTELLİ BLUZ,₺40.950,Kadin,301,M405092299-0027,40950.0,03,0.0,0.0,0.0
BEJ İPEK GÖMLEK,₺40.950,Kadin,301,M404497950-0021,40950.0,03,0.0,0.0,0.0
MAVİ PARLAK KETEN PANTOLON,₺15.950,Kadin,301,M301602030-0038,15950.0,03,0.0,0.0,0.0
MAVİ PARLAK KETEN BLUZ,₺12.950,Kadin,301,M301602027-0038,12950.0,03,0.0,0.0,0.0
BEJ DEKOLTELİ KOLSUZ BLUZ,₺20.950,Kadin,301,M405423179-0021,20950.0,03,0.0,0.0,0.0
BEJ ASİMETRİK UZUN ETEK,₺30.950,Kadin,301,M405423180-0021,30950.0,03,0.0,0.0,0.0
EKRU MİDİ ETEK,₺40.950,Kadin,301,M404480374-0027,40950.0,03,0.0,0.0,0.0
EKRU ASKILI BLUZ,₺25.950,Kadin,301,M404480370-0027,25950.0,03,0.0,0.0,0.0
EKRU BOL KESİM PANTOLON,₺35.950,Kadin,301,M404480376-0027,35950.0,03,0.0,0.0,0.0
EKRU GÖMLEK,₺45.950,Kadin,301,M404480375-0027,45950.0,03,0.0,0.0,0.0
EKRU ŞAL YAKA CEKET,₺50.950,Kadin,301,M404480378-0027,50950.0,03,0.0,0.0,0.0
EKRU DÜZ KESİM PANTOLON,₺30.950,Kadin,301,M404480406-0027,30950.0,03,0.0,0.0,0.0
VİZON CEKET,₺45.950,Kadin,301,M405053624-0022,45950.0,03,0.0,0.0,0.0
BEJ KRUVAZE CEKET,₺45.950,Kadin,301,M405053620-0021,45950.0,03,0.0,0.0,0.0
BEJ DÜZ KESİM PANTOLON,₺25.950,Kadin,301,M405053622-0021,25950.0,03,0.0,0.0,0.0
BEJ DİK YAKA CEKET,₺30.950,Kadin,301,M301538679-0021,30950.0,03,0.0,0.0,0.0
BEJ İPEK KISA KOLLU TRİKO,₺15.950,Kadin,301,M404810535-0021-0027,15950.0,03,0.0,0.0,0.0
VİZON CEKET,₺45.950,Kadin,301,M404299033-0022-0027,45950.0,03,0.0,0.0,0.0
BEJ DAR PAÇA PANTOLON,₺25.950,Kadin,301,M405136799-0027,25950.0,03,0.0,0.0,
BEJ KRUVAZE YAKA CEKET,₺30.950,Kadin,301,M405386582-0021,30950.0,03,0.0,0.0,0.0
BEJ O YAKA TRİKO,₺8.950,Kadin,301,M404690237-0021,8950.0,03,0.0,0.0,0.0
BEYAZ GÖMLEK,₺19.950,Kadin,301,M301556057-0012,19950.0,03,0.0,0.0,0.0
BEJ V YAKA TRİKO,₺6.950,Kadin,301,M405283113-0021-0078,6950.0,03,0.0,0.0,0.0
BEJ DAR PAÇA PANTOLON,₺15.950,Kadin,301,M404556788-0021,15950.0,03,0.0,0.0,0.0
BEJ DİK YAKA CEKET,₺30.950,Kadin,301,M405386583-0021,30950.0,03,0.0,0.0,0.0
KAHVE HAKİM YAKA CEKET,₺52.950,Kadin,301,M404700110-0014-0021,52950.0,03,0.0,0.0,0.0
ATLET,₺5.950,Kadin,301,M405282168-0054,5950.0,03,0.0,0.0,0.0
EKRU BOL PAÇA PANTOLON,₺39.950,Kadin,301,M405487844-0027,39950.0,03,0.0,0.0,0.0
CAMEL DOKULU CEKET,₺80.950,Kadin,301,M405092257-0088,80950.0,03,0.0,0.0,0.0
KREM KISA KOLLU TRİKO,₺30.950,Kadin,301,M405487847-0025,30950.0,03,0.0,0.0,0.0
ŞAPKA,₺7.950,Kadin,301,M405388873-0089-0021,7950.0,03,0.0,0.0,0.0
BEJ İPEK CEKET,₺45.950,Kadin,301,M405124255-0021,45950.0,03,0.0,0.0,0.0
KREM CEKET,₺25.165,Kadin,301,M301544041-0025,25165.0,03,0.0,0.0,-30.0
