Ana Kategori,Kategori ID,Stok Kodu,Ürün Adı,Fiyat,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d
Kadin,301,M405114997-0047,BLUZ,25950.0,03,0.0,0.0,
Kadin,301,M404509401-0029-0027,YEŞİL KETEN PANTOLON,18950.0,03,0.0,0.0,0.0
Kadin,301,M404497954-0038-0027,MAVİ-EKRU TRİKO,25950.0,03,0.0,0.0,0.0
Kadin,301,M404576971-0010-0012,AÇIK GRİ CEKET,70950.0,03,0.0,0.0,0.0
Kadin,301,M404576970-0010-0012,AÇIK GRİ BORU PAÇA PANTOLON,45950.0,03,0.0,0.0,0.0
Kadin,301,M404576995-0006,KOYU GRİ PANTOLON,35950.0,03,0.0,0.0,0.0
Kadin,301,M404576993-0006,KOYU GRİ O YAKA TRİKO,42665.0,03,-30.0,-30.0,-30.0
Kadin,301,M404576992-0006,KOYU GRİ MİDİ ETEK,35950.0,03,0.0,0.0,0.0
Kadin,301,M404576973-0006,KOYU GRİ O YAKA TRİKO,28665.0,03,-30.0,-30.0,-30.0
Kadin,301,M404576996-0006,KOYU GRİ CEKET,75950.0,03,0.0,0.0,0.0
Kadin,301,M404576994-0047,AÇIK GRİ V YAKA KOLSUZ BLUZ,25950.0,03,0.0,0.0,0.0
Kadin,301,M404480393-0027,EKRU BOL PAÇA PANTOLON,30950.0,03,0.0,0.0,0.0
Kadin,301,M404644535-0004-0038,GRİ BOL PAÇA PANTOLON,25950.0,03,0.0,0.0,0.0
Kadin,301,M404644534-0004-0009,GRİ FERMUARLI HIRKA,40950.0,03,0.0,0.0,0.0
Kadin,301,M404634825-0042-0004,KOYU MAVİ İPEK BLUZ,25950.0,03,0.0,0.0,0.0
Kadin,301,M404908953-0021,BEJ BOL PAÇA PANTOLON,17950.0,03,0.0,0.0,0.0
Kadin,301,M404908952-0021,BEJ YELEK,25950.0,03,0.0,0.0,0.0
