Ana Kategori,Kategori ID,Stok Kodu,Ürün Adı,Fiyat,tuik_category,basic_inflation_1d
Kadin,301,M405409127-0014-0002,KAHVE PARDÖSÜ,47950.0,03,0.0
Kadin,301,M405941737-0014,KAHVE KOLSUZ MİDİ ELBİSE,25950.0,03,0.0
Kadin,301,M406222338-0014,KAHVE DERİ CEKET,40950.0,03,0.0
Kadin,301,M301279076-0027,EKRU DANTEL DETAYLI GÖMLEK,18950.0,03,0.0
Kadin,301,M403131402-0021,BEJ DAR PAÇA PANTOLON,20950.0,03,0.0
Kadin,301,M400449850-0041,LACİVERT DAR PAÇA PANTOLON,12950.0,03,0.0
Kadin,301,M403354843-0021,BEJ O YAKA TRİKO,9950.0,03,0.0
Kadin,301,M402303984-0012,BEYAZ O YAKA KISA KOLLU T-SHİRT,5950.0,03,0.0
Kadin,301,M403131402-0004,GRİ DAR PAÇA PANTOLON,20950.0,03,0.0
Kadin,301,M403405423-0021,BEJ TRİKO,8950.0,03,0.0
Kadin,301,M301279075-0002,SİYAH MAXİ ETEK,17950.0,03,0.0
Kadin,301,M403131402-0041,LACİVERT DAR PAÇA PANTOLON,20950.0,03,0.0
Kadin,301,M403355199-0027,EKRU O YAKA TRİKO,7950.0,03,0.0
Kadin,301,M301278520-0002-0027,SİYAH SMOKİN DETAYLI GÖMLEK,18950.0,03,0.0
Kadin,301,M301279268-0002,SİYAH BOL PAÇA PANTOLON,15950.0,03,0.0
Kadin,301,M403131402-0005,ANTRASİT DAR PAÇA PANTOLON,20950.0,03,0.0
Kadin,301,M402007544-0047,AÇIK MAVİ JEAN PANTOLON,20950.0,03,0.0
Kadin,301,M403355198-0027,EKRU TRİKO,8950.0,03,0.0
Kadin,301,M301281261-0002,SİYAH UZUN KOLLU DİZ ALTI ELBİSE,25950.0,03,0.0
Kadin,301,M301281262-0002,SİYAH ŞAL YAKA CEKET,35950.0,03,
Kadin,301,M402792276-0012,BEYAZ T-SHIRT,15950.0,03,0.0
Kadin,301,M403882951-0002,SİYAH DANTELLİ ELBİSE,30950.0,03,0.0
Kadin,301,M301281259-0055,KIRMIZI KOLSUZ DİZ ÜSTÜ ELBİSE,25950.0,03,0.0
Kadin,301,M403131402-0012,BEYAZ DAR PAÇA PANTOLON,20950.0,03,0.0
Kadin,301,M403944492-0002,SİYAH TULUM,29950.0,03,0.0
Kadin,301,M400368705-0012,BEYAZ DAR PAÇA PANTOLON,20950.0,03,0.0
Kadin,301,M404647372-0002-0092,SİYAH PANTOLON,15950.0,03,0.0
Kadin,301,M405634935-0056,ELBİSE,30950.0,03,0.0
Kadin,301,M400368711-0096,LACİVERT DAR PAÇA PANTOLON,17950.0,03,0.0
Kadin,301,M404712120-0056-0055,BORDO BLUZ,15950.0,03,0.0
Kadin,301,M402022770-0004,GRİ DAR PAÇA PANTOLON,25950.0,03,0.0
Kadin,301,M402022775-0012,BEYAZ DAR PAÇA PANTOLON,20950.0,03,0.0
Kadin,301,M403355201-0027,EKRU O YAKA TRİKO,9950.0,03,0.0
Kadin,301,M403482975-0038,MAVİ UZUN KOLLU GÖMLEK,15950.0,03,0.0
Kadin,301,M403483747-0038,MAVİ PANTOLON,15950.0,03,0.0
Kadin,301,M403983199-0038,MAVİ UZUN KOLLU GÖMLEK,19950.0,03,0.0
Kadin,301,M405941712-0002,SİYAH PANTOLON,15950.0,03,0.0
Kadin,301,M402163769-0072-0027,SARI DEGRADE DESENLİ ŞAL,12950.0,03,0.0
Kadin,301,M402792258-0021,KÜPE,7950.0,03,0.0
Kadin,301,M403048307-0027,EKRU TRİKO,29950.0,03,0.0
Kadin,301,M403475642-0041,LACİVERT DÜZ KESİM JEAN PANTOLON,22950.0,03,0.0
Kadin,301,M404403787-0022,VİZON ATLET,2950.0,03,0.0
Kadin,301,M405104658-0012,BEYAZ GÖMLEK,12950.0,03,0.0
Kadin,301,M405283115-0002-0012,SİYAH O YAKA TRİKO,6950.0,03,0.0
Kadin,301,M301281260-0002,SİYAH KOLSUZ DİZ ÜSTÜ ELBİSE,25950.0,03,0.0
Kadin,301,M301415436-0002,SİYAH BORU PAÇA PANTOLON,15950.0,03,0.0
Kadin,301,M301468680-0085,ÇOK RENKLİ KISA KOLLU GÖMLEK,15950.0,03,0.0
Kadin,301,M402328982-0092,KÜPE,8950.0,03,0.0
Kadin,301,M402423937-0089-0063,NATÜREL ŞAPKA,14950.0,03,0.0
Kadin,301,M403048292-0021,BEJ YÜN TRİKO,39950.0,03,0.0
Kadin,301,M403131369-0012,BEYAZ GÖMLEK,25950.0,03,0.0
Kadin,301,M403630629-0027,EKRU BOL KESİM PANTOLON,42950.0,03,0.0
Kadin,301,M405282171-0037,MİNT O YAKA TRİKO,8950.0,03,0.0
Kadin,301,M301429640-0010,AÇIK GRİ ÇİZGİLİ BORU PAÇA PANTOLON,18950.0,03,0.0
Kadin,301,M301567006-0037,MİNT İPEK BLUZ,12950.0,03,0.0
