id,category,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Becel Kase Margarin 500 Gr,"Süt, Kahvaltılık, Sark.",142.0,01,0.0,14.979757085020243,43.7246963562753,14.979757085020243
Becel Tereyağ Keyfi Kase Margarin 250 Gr,"Süt, Kahvaltılık, Sark.",73.5,01,0.0,13.076923076923078,41.34615384615385,13.076923076923078
Becel Tereyağ Keyfi Kase Margarin 500 Gr,"Süt, Kahvaltılık, Sark.",142.0,01,0.0,14.979757085020243,43.7246963562753,14.979757085020243
Becel Zeytinyağlı Kase Margarin 250 Ml,"Süt, Kahvaltılık, Sark.",85.5,01,0.0,14.381270903010032,42.97658862876255,14.381270903010032
Becel Zeytinyağlı Kase Margarin 500 Gr,"Süt, Kahvaltılık, Sark.",162.75,01,0.0,15.01766784452297,43.772084805653705,15.01766784452297
Bizim Paket Margarin 250 Gr,"Süt, Kahvaltılık, Sark.",51.95,01,0.0,,14.17582417582418,14.17582417582418
Burcu Ajvar Kahvaltılık Sos 310 Gr,"Süt, Kahvaltılık, Sark.",49.9,01,0.0,0.0,-16.69449081803005,
Burcu Kahvaltılık Acı Sos 320 Gr,"Süt, Kahvaltılık, Sark.",49.9,01,0.0,0.0,-16.69449081803005,-16.69449081803005
Cem Yağlı Sele Süper Zeytin - 500 Gr.,"Süt, Kahvaltılık, Sark.",179.95,01,0.0,0.0,-10.002500625156289,2.857959416976279
Çokokrem 180 Gr,"Süt, Kahvaltılık, Sark.",55.0,01,0.0,0.0,0.0,0.0
