id,shown_price,category,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Pınar Dana Sosis 430 Gr,499.9,Et ve Tavuk,01,,,,
Pınar Doyum Hindi Salam 500 Gr,139.9,Et ve Tavuk,01,,,,
Pınar Gurme Dana Sucuk 250 Gr,399.9,Et ve Tavuk,01,,,,
Pınar Gurme Hindi Füme 110Gr But Etli,114.9,Et ve Tavuk,01,,,,
Pınar Gurme Hindi Füme 110Gr Karabiberli,95.0,Et ve Tavuk,01,,,,
Pınar Gurme Hindi Füme 150Gr,129.9,Et ve Tavuk,01,,,,
Pınar Hindi Füme Cheddarlı Jumbo Sosis 265Gr,159.0,Bilinmiyor,,,,,
Pınar İllaki Kasap Sucuk 300 Gr,499.9,Et ve Tavuk,01,,,,
Pınar İllaki Misket Köfte 390 Gr,459.95,Et ve Tavuk,01,,,,
Pınar Klasik Kangal Sucuk 225 Gr,299.9,Et ve Tavuk,01,,,,
Pınar Macar Salam Aç Bitir Büyük Dilim 50 Gr,67.75,Et ve Tavuk,01,,,,
Pınar Mangal Keyfi Sucuk 300 Gr,179.9,Et ve Tavuk,01,,,,
Pınar Şölen Dana Sucuk 180 Gr,249.9,Et ve Tavuk,01,,,,
Pınar Sosis Dana Hot Dog 295 Gr,399.9,Et ve Tavuk,01,,,,
Special Köfte Adana (Dana-Kuzu) - 500 Gr._1kg,,Bilinmiyor,,,,,
Special Köfte Kasap (Dana-Kuzu) - 500 Gr._1kg,,Bilinmiyor,,,,,
Tire Süt Dana Döner 200 Gr,499.9,Et ve Tavuk,01,,,,
Tire Süt Kooperatifi Şiş Köfte 500 Gr,979.9,Et ve Tavuk,01,,,,
Tiresüt Şiş Köfte 250 Gr,499.9,Et ve Tavuk,01,,,,
Torku Dilimli Salam 50 Gr,59.9,Et ve Tavuk,01,,,,
Torku Isılı İşlem Görmüş Vakum Sucuk 180 Gr,219.9,Et ve Tavuk,01,,,,
Torku Mini Kokteyl Sosis 100 Gr,119.9,Et ve Tavuk,01,,,,
Yayla Köri Soslu Tavuk 200 Gr,106.95,Et ve Tavuk,01,,,,
Activia Ananas&Yulaf&Hindistan Cevizli Probiyotikli Blow,49.5,"Süt, Kahvaltılık, Sark.",01,,,,
Activia Doğal Probiyotikli Ananaslı Yoğurt 4*100 Gr,99.5,"Süt, Kahvaltılık, Sark.",01,,,,
Activia Doğal Probiyotikli Çilekli Yoğurt 4*100 Gr,99.5,"Süt, Kahvaltılık, Sark.",01,,,,
Activia Doğal Probiyotikli İncir&Cevizli Yoğurt 4*100 Gr,99.5,"Süt, Kahvaltılık, Sark.",01,,,,
Activia Doğal Probiyotikli Kuru Kayısılı Yoğurt 4*100 Gr,99.5,"Süt, Kahvaltılık, Sark.",01,,,,
Activia Doğal Probiyotikli Sade Yoğurt 4*100 Gr,99.5,"Süt, Kahvaltılık, Sark.",01,,,,
Activia Laktozsuz Probiyotik Sade Yoğurt 4'lü 100 Gr,99.5,"Süt, Kahvaltılık, Sark.",01,,,,
Activia Probiyotikli Bowl Ahududu&Yulaf&Ceviz,49.5,"Süt, Kahvaltılık, Sark.",01,,,,
Activia Probiyotikli Bowl Muz&Yulaf&Fındık,49.5,"Süt, Kahvaltılık, Sark.",01,,,,
Activia Probiyotikli Bowl Yaban Mersini&Chia,49.5,"Süt, Kahvaltılık, Sark.",01,,,,
Activia Shot Sade 80 Ml,32.5,"Süt, Kahvaltılık, Sark.",01,,,,
Activia x2 Probiyotik Ahududu&Hibisküs Shot 80 Ml,32.5,"Süt, Kahvaltılık, Sark.",01,,,,
Akdeniz Toros Mantı 500 Gr,179.9,"Süt, Kahvaltılık, Sark.",01,,,,
Alan Kuru Sele Zeytin - 500 Gr._1kg,,Bilinmiyor,,,,,
Alan Yağlı Sele Zeytin - 500 Gr._1kg,,Bilinmiyor,,,,,
Alpro Şekersiz Badem Sütü 1 Lt,159.9,"Süt, Kahvaltılık, Sark.",01,,,,
