id,category,product_id,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Ancora Böğürtlen Suyu 1000 Ml,İçecekler,3456,109.95,01,0.0,0.0,0.0,
Ancora Karadut Suyu 1000 Ml,İçecekler,3455,109.95,01,0.0,0.0,0.0,0.0
Ancora Vişne Suyu 1000 Ml,İçecekler,3457,119.95,01,0.0,,0.0,0.0
Bağdat Pratik Salep 100 Gr,İçecekler,6507,59.9,01,0.0,0.0,0.0,0.0
Benorganic Organic Kırmızı Meyveler Karışık Meyve Suyu 946 Ml,İçecekler,12425,189.95,01,0.0,0.0,0.0,0.0
Benorganic Organic Şeftali & Kayısı & Elma Meyve Suyu 946ml,İçecekler,12424,189.95,01,0.0,0.0,0.0,0.0
Benorganic Organik Portakal Suyu 946 Ml,İçecekler,12426,189.95,01,0.0,0.0,0.0,0.0
Benorganic Organik Yeşil Sebze Suyu 946 Ml,İçecekler,12423,189.95,01,0.0,0.0,0.0,0.0
Beypazarı Maden Suyu 6*200 Ml,İçecekler,12432,62.5,01,0.0,0.0,0.0,
Burn Enerji İçeceği 250 Ml,İçecekler,168,60.0,01,0.0,0.0,0.0,0.0
"Cafe Crown 3'ü 1 Arada 17,5 Gr",İçecekler,7322,11.5,01,0.0,0.0,0.0,0.0
Cafe Crown 3ü 1 Arada Action 18 Gr,İçecekler,215,11.5,01,0.0,0.0,0.0,0.0
Cafe Crown 3ü 1 Arada Fındıklı 13 Gr,İçecekler,2074,11.5,01,0.0,0.0,0.0,0.0
Cafe Crown Beyaz Çikolatalı Mocha 22 Gr,İçecekler,7184,12.0,01,0.0,0.0,0.0,0.0
Cafe Crown Choco Latte 17 Gr,İçecekler,2397,12.0,01,0.0,0.0,0.0,0.0
Cafe Crown Gold Kahve 100 gr,İçecekler,3754,214.95,01,0.0,0.0,0.0,0.0
Cafe Crown Latte Kahve 17 Gr,İçecekler,5374,12.0,01,0.0,0.0,0.0,0.0
Can Kardeşler Chia Tohumu 150 Gr,İçecekler,2674,74.0,01,0.0,0.0,0.0,0.0
Cappy Ananas Aromalı Meyve Suyu 1 Lt,İçecekler,7516,70.0,01,0.0,0.0,0.0,0.0
Cappy Atom 330 Ml,İçecekler,2646,45.0,01,0.0,0.0,0.0,0.0
Cappy Atom Ballı Karışık Meyve Nektarı 1 Lt,İçecekler,5381,70.0,01,0.0,0.0,0.0,0.0
Cappy Atom Ballı Karışık Meyve Nektarı 200 Ml,İçecekler,8296,17.5,01,0.0,0.0,0.0,0.0
8 Kek Mini Orman Meyveli 162 Gr,Atıştırmalıklar,12484,55.0,01,0.0,31.108462455303926,0.0,31.108462455303926
8 Kek Orman Meyveli Kek 55 gr,Atıştırmalıklar,3863,13.0,01,0.0,0.0,0.0,0.0
9 Kat Tat İnce İnce Limonlu Gofret 114 Gr,Atıştırmalıklar,12320,40.0,01,0.0,0.0,14.285714285714285,14.285714285714285
9 Kat Tat İnce İnce Portakallı Gofret 114 Gr,Atıştırmalıklar,12321,40.0,01,0.0,0.0,14.285714285714285,14.285714285714285
Aktürk Kakaolu Gofret 200Gr,Atıştırmalıklar,6658,36.5,01,0.0,0.0,0.0,0.0
Aktürk Vanilyalı Gofret 200Gr,Atıştırmalıklar,6657,36.5,01,,0.0,0.0,0.0
Alaska Frigo Bitter Çikolata Kaplı Dondurma,Atıştırmalıklar,4234,48.5,01,-10.185185185185185,-10.185185185185185,-10.185185185185185,2.1052631578947367
Alaska Frigo Sütlü Çikolata Kaplı Dondurma,Atıştırmalıklar,7805,48.5,01,-10.185185185185185,-10.185185185185185,-10.185185185185185,2.1052631578947367
Albeni Atıştırmalık Bisküvi Parçacıklı&Karamelli&Bisküvili Sütlü Çikolata 72 Gr,Atıştırmalıklar,8670,35.0,01,0.0,0.0,0.0,0.0
Albeni Tane Tane Kutu Çikolata 29 Gr,Atıştırmalıklar,7495,28.0,01,0.0,0.0,0.0,0.0
Algida Boom Boom Vanilya Aromalı Dondurma,Atıştırmalıklar,6903,50.0,01,0.0,0.0,0.0,0.0
Algida Carte d'Or Classic İsviçre Çikolatası Karamel&Muz,Atıştırmalıklar,6035,275.0,01,0.0,0.0,0.0,0.0
Algida Carte D'or Petite Bar Chocoberry 276 Gr,Atıştırmalıklar,12870,250.0,01,0.0,0.0,0.0,0.0
Algida Carte D'Or Selection Aşkın Büyüsü Kap Dondurma 800 Ml,Atıştırmalıklar,11775,295.0,01,0.0,0.0,0.0,0.0
Algida Carte D'Or Selection Patisserie Kap Dondurma 800 Ml,Atıştırmalıklar,11776,295.0,01,0.0,0.0,20.408163265306122,0.0
Algida Cartedor Petite Bar Caramella 276 Gr,Atıştırmalıklar,12869,250.0,01,0.0,0.0,0.0,0.0
Algida Classics Antep Fıstıklı Dondurma 73 ML,Atıştırmalıklar,7097,20.0,01,0.0,0.0,0.0,0.0
Algida Classics Kakaolu Dondurma 73 Ml,Atıştırmalıklar,1833,20.0,01,0.0,0.0,0.0,0.0
Algida Classics Vanilyalı Dondurma 73 Ml,Atıştırmalıklar,1834,20.0,01,0.0,0.0,0.0,0.0
Algida Conboo Çilek Vanilya 60 Ml,Atıştırmalıklar,2513,15.0,01,0.0,0.0,0.0,0.0
Algida Conboo Kakaolu Dondurma 60 Ml,Atıştırmalıklar,2512,15.0,01,0.0,0.0,0.0,0.0
Algida Cornetto Classico Çilek&Kaymak Dondurma 120 Ml,Atıştırmalıklar,6102,50.0,01,0.0,0.0,0.0,0.0
Algida Dövme Sade Dondurma 1400 Ml,Atıştırmalıklar,2525,150.0,01,100.0,0.0,0.0,
Algida Frigola Bar Dondurma 60 Ml,Atıştırmalıklar,11777,35.0,01,0.0,0.0,0.0,0.0
Algida Frigola Fındıklı&Çikolatalı Dondurma,Atıştırmalıklar,4835,40.0,01,0.0,0.0,0.0,0.0
Aptamil 1 Bebek Sütü 350 g 0-6 Ay Akıllı Kutu,Bebek Ürünleri,8714,539.9,12,0.0,0.0,0.0,25.587345894394048
