category,id,shown_price,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Et ve Tavuk,Kuzu Kuşbaşı - 500 Gr.,724.95,01,0.0,2.1128248468201987,3.5716836916922636,8.209567878199865
Et ve Tavuk,Kuzu Pirzola - 500 Gr.,814.95,01,0.0,1.8751171948246763,3.8218994840435694,8.66724448296553
Et ve Tavuk,Kuzu Şiş - 500 Gr.,744.95,01,0.0,2.0549352695390093,4.929924642580463,9.559526435767335
Et ve Tavuk,Kuzu Yarım Kol - 1 Kg.,,01,,,,
Et ve Tavuk,Lezita But - 1 Kg.,135.0,01,0.0,12.59382819015846,12.59382819015846,12.59382819015846
Et ve Tavuk,Lezita But Izgara Derisiz - 1 Kg.,279.9,01,0.0,12.004801920768296,40.02001000500249,12.004801920768296
Et ve Tavuk,Lezita Fileto - 1 Kg.,269.9,01,0.0,3.8476337052712584,3.8476337052712584,22.737608003638005
Et ve Tavuk,Lezita Izgara Üst Kanat - 1 Kg.,329.9,01,0.0,13.79786133149362,13.79786133149362,13.79786133149362
Et ve Tavuk,Lezita Piliç Baton Sucuk 450 Gr,119.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,"Lezita Poşetli Bütün Piliç - 1,5 Kg.",209.85,01,0.0,7.698229407236336,7.698229407236336,40.04004004004004
Et ve Tavuk,Maret Afiyetle Dana Kokteyl Sosis 200 gr,169.9,01,0.0,0.0,-22.737608003638016,0.0
Et ve Tavuk,Maret Afiyetle Dana Sucuk 200 Gr,199.9,01,0.0,0.0,-13.086956521739129,0.0
Et ve Tavuk,Maret Boncuk Sucuk 220 Gr,349.9,01,0.0,0.0,34.62870334744132,0.0
Et ve Tavuk,Maret Çemeni Sıyrılmış Pastırma 100 Gr,379.9,01,0.0,0.0,0.0,46.1716044632551
Et ve Tavuk,Maret Küvet Sucuk 300 Gr,389.9,01,0.0,,0.0,0.0
Et ve Tavuk,Maret Lezzetince Hindi Füme 110 Gr,79.9,01,0.0,0.0,-17.202072538860097,
Et ve Tavuk,Maret Pratik Dana Macar Salam 50 Gr,59.9,01,0.0,0.0,20.04008016032064,0.0
Et ve Tavuk,Maret Pratik Hindi Füme 60 Gr,49.9,01,0.0,0.0,25.062656641604008,0.0
Et ve Tavuk,Maret Pratik Hindi Salam 8 Dilim 60 gr,25.9,01,0.0,0.0,-25.787965616045845,-25.787965616045845
Et ve Tavuk,Maret Pratik Sosis 140 Gr,69.9,01,0.0,0.0,40.0801603206413,0.0
Et ve Tavuk,Maret Sosis 5'li 240 Gr,299.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Namet 7/24 Dana Jambon 50 Gr,84.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Namet 7/24 Dana Macar Salam 50 Gr,49.9,01,0.0,-16.69449081803005,-16.69449081803005,-16.69449081803005
Et ve Tavuk,Namet 7/24 Hindi Füme 60 Gr,34.95,01,0.0,0.0,0.0,
Et ve Tavuk,Namet 7/24 Hindi Salam 60 Gr,27.9,01,0.0,0.0,0.0,7.722007722007722
Et ve Tavuk,Namet 7/24 Hindi Sosis 140 Gr,64.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Namet Dana Kangal Sucuk 200 Gr,199.9,01,0.0,0.0,-16.673614005835766,0.0
Et ve Tavuk,Namet Dana Kangal Sucuk 300 Gr,359.9,01,0.0,0.0,20.00666888962988,0.0
Et ve Tavuk,Namet Dana Kavurma 80 Gr,219.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Namet Dilimli Hindi Jambon 130 Gr,109.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Namet Gurme Dana Sucuk 240 Gr,399.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Namet Hindi Uzun Sosis 210 Gr,79.9,01,0.0,0.0,-20.060030015007502,
Et ve Tavuk,Namet Hindi Uzun Sosis 420 Gr,199.9,01,0.0,0.0,24.97655517349173,0.0
Et ve Tavuk,Namet Kokteyl Dana Sosis 250 Gr,239.9,01,0.0,0.0,-20.006668889629868,
Et ve Tavuk,Namet Nam Nam Pişmiş Dana Döner 200 Gr,229.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Namet Piliç Füme 150 Gr,89.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Namet Sofram Kangal Sucuk 220 Gr,119.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Pınar Aç Bitir Büyük Dilim Hindi Salam 60 Gr,41.9,01,0.0,0.0,0.0,27.355623100303955
Et ve Tavuk,Pınar Aç Bitir Dana Macar Salam 60 Gr,81.5,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Pınar Aç Bitir Fıstıklı Hindi Salam 50 Gr,35.9,01,0.0,0.0,,-11.90184049079755
Et ve Tavuk,Pınar Aç Bitir Hindi Füme 60 Gr,36.9,01,0.0,,-21.321961620469086,
Et ve Tavuk,Pınar Aç Bitir Hindi Salam 75 Gr,35.9,01,0.0,0.0,-22.795698924731187,-22.795698924731187
Et ve Tavuk,Pınar Aç Bitir Kokteyl Sosis 180 Gr,86.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Pınar Dana Sosis 430 Gr,499.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Pınar Doyum Hindi Salam 500 Gr,139.9,01,0.0,0.0,-22.234574763757642,0.0
Et ve Tavuk,Pınar Gurme Dana Sucuk 250 Gr,399.9,01,0.0,0.0,-20.004000800160032,0.0
Et ve Tavuk,Pınar Gurme Hindi Füme 110Gr But Etli,114.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Pınar Gurme Hindi Füme 110Gr Karabiberli,95.0,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Pınar Gurme Hindi Füme 150Gr,129.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Pınar Hindi Uzun Sosis 430 Gr,159.9,01,0.0,0.0,-23.492822966507173,0.0
Et ve Tavuk,Pınar İllaki Kasap Sucuk 300 Gr,499.9,01,0.0,0.0,0.0,
Et ve Tavuk,Pınar İllaki Misket Köfte 390 Gr,459.95,01,0.0,,0.0,0.0
Et ve Tavuk,Pınar Klasik Kangal Sucuk 225 Gr,399.0,01,0.0,0.0,0.0,33.04434811603869
Et ve Tavuk,Pınar Macar Salam Aç Bitir Büyük Dilim 50 Gr,67.75,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Pınar Mangal Keyfi Sucuk 300 Gr,169.9,01,0.0,,-20.97674418604651,-5.558643690939411
Et ve Tavuk,Pınar Şölen Dana Sucuk 180 Gr,249.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Pınar Sosis Dana Hot Dog 295 Gr,399.9,01,0.0,,,0.0
Et ve Tavuk,Special Köfte Adana (Dana-Kuzu) - 500 Gr.,424.95,01,0.0,0.0,-15.001500150015001,-15.001500150015001
Et ve Tavuk,Special Köfte Kasap (Dana-Kuzu) - 500 Gr.,424.95,01,0.0,0.0,-15.001500150015001,-15.001500150015001
Et ve Tavuk,Torku Dilimli Salam 50 Gr,59.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Torku Isılı İşlem Görmüş Vakum Sucuk 180 Gr,219.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Torku Mini Kokteyl Sosis 100 Gr,119.9,01,0.0,0.0,0.0,0.0
Et ve Tavuk,Yayla Köri Soslu Tavuk 200 Gr,80.21,01,0.0,0.0,-25.00233754090697,-25.00233754090697
"Süt, Kahvaltılık, Sark.",Activia Ananas&Yulaf&Hindistan Cevizli Probiyotikli Blow,57.5,01,0.0,0.0,0.0,16.161616161616163
"Süt, Kahvaltılık, Sark.",Activia Doğal Probiyotikli Ananaslı Yoğurt 4*100 Gr,99.5,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Activia Doğal Probiyotikli Çilekli Yoğurt 4*100 Gr,99.5,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Activia Doğal Probiyotikli İncir&Cevizli Yoğurt 4*100 Gr,99.5,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Activia Doğal Probiyotikli Kuru Kayısılı Yoğurt 4*100 Gr,99.5,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Activia Doğal Probiyotikli Orman Meyveli Yoğurt 4*100 Gr,99.5,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Activia Doğal Probiyotikli Sade Yoğurt 4*100 Gr,99.5,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Activia Laktozsuz Probiyotik Sade Yoğurt 4'lü 100 Gr,99.5,01,0.0,0.0,0.0,
"Süt, Kahvaltılık, Sark.",Activia Probiyotikli Bowl Ahududu&Yulaf&Ceviz,57.5,01,0.0,0.0,0.0,16.161616161616163
"Süt, Kahvaltılık, Sark.",Activia Probiyotikli Bowl Muz&Yulaf&Fındık,57.5,01,0.0,0.0,0.0,16.161616161616163
"Süt, Kahvaltılık, Sark.",Activia Probiyotikli Bowl Yaban Mersini&Chia,57.5,01,0.0,0.0,0.0,16.161616161616163
"Süt, Kahvaltılık, Sark.",Activia x2 Probiyotik Ahududu&Hibisküs Shot 80 Ml,27.5,01,0.0,-15.384615384615385,-15.384615384615385,-15.384615384615385
"Süt, Kahvaltılık, Sark.",Akdeniz Toros Mantı 500 Gr,179.9,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Alan Kuru Sele Zeytin - 500 Gr.,199.95,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Alan Yağlı Sele Zeytin - 500 Gr.,249.95,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Anavarza Çam Balı 325 Gr,349.9,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Anavarza Çam Balı 450 Gr,399.9,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Anavarza Çam Balı 850 Gr,699.9,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Anavarza Çiçek Balı 450 Gr,299.9,01,0.0,0.0,0.0,
"Süt, Kahvaltılık, Sark.",Anavarza Çiçek Balı 850 Gr,499.9,01,0.0,-16.669444907484582,-16.669444907484582,0.0
"Süt, Kahvaltılık, Sark.",Anavarza Çiçek Balı Akıllı Kapak 325 Gr,317.5,01,0.0,0.0,22.13887286016542,0.0
"Süt, Kahvaltılık, Sark.",Anavarza Keven Kekik Balı 450 Gr,499.9,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Anavarza Kral Şakir Bal Tüpü 40 Gr,54.9,01,0.0,0.0,22.271714922049,0.0
"Süt, Kahvaltılık, Sark.",Aoç Fındık Kreması 700 Gr,229.95,01,0.0,0.0,0.0,0.0
"Süt, Kahvaltılık, Sark.",Arnilya Sele Siyah Zeytin - 500 Gr.,169.95,01,0.0,0.0,0.0,13.337779259753251
"Süt, Kahvaltılık, Sark.",Arnilya Yağlı Sele Özel İri Zeytin - 500 Gr.,299.95,01,0.0,0.0,0.0,0.0
