id,shown_price,product-id,category,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Algida Carte D'Or Selection Aşkın Büyüsü Kap Dondurma 800 Ml,295.0,11775,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Algida Carte D'Or Selection Patisserie Kap Dondurma 800 Ml,295.0,11776,Atıştırmalıklar,01,0.0,0.0,0.0,20.408163265306122
Algida Cartedor Petite Bar Caramella 276 Gr,250.0,12869,Atıştırmalıklar,01,0.0,0.0,0.0,
Algida Classics Antep Fıstıklı Dondurma 73 ML,20.0,7097,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Algida Classics Kakaolu Dondurma 73 Ml,20.0,1833,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Algida Classics Vanilyalı Dondurma 73 Ml,20.0,1834,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Algida Conboo Çilek Vanilya 60 Ml,15.0,2513,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Algida Conboo Kakaolu Dondurma 60 Ml,15.0,2512,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Algida Cornetto Classico Çilek&Kaymak Dondurma 120 Ml,50.0,6102,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Algida Dövme Sade Dondurma 1400 Ml,150.0,2525,Atıştırmalıklar,01,0.0,100.0,0.0,0.0
Algida Frigola Bar Dondurma 60 Ml,35.0,11777,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Algida Frigola Fındıklı&Çikolatalı Dondurma,40.0,4835,Atıştırmalıklar,01,0.0,0.0,0.0,0.0
Aptamil 1 Bebek Sütü 350 g 0-6 Ay Akıllı Kutu,539.9,8714,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Aptamil 1 Bebek Sütü 800 Gr,1109.9,8402,Bebek Ürünleri,12,0.0,0.0,16.843878302979274,0.0
Aptamil 2 Akıllı Kutu Devam Sütü 6-9 Ay 350 Gr,539.9,8433,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Aptamil 2 Devam Sütü 800 Gr,1109.9,4547,Bebek Ürünleri,12,0.0,0.0,16.843878302979274,0.0
Aptamil 3 Devam Sütü 350 Gr,539.9,8457,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Aptamil 3 Devam Sütü 800 Gr,1109.9,6920,Bebek Ürünleri,12,0.0,0.0,16.843878302979274,0.0
Aptamil 4 Çocuk Devam Sütü 350 Gr,539.9,11288,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Aptamil 4 Çocuk Devam Sütü 800 Gr,1109.9,7901,Bebek Ürünleri,12,0.0,0.0,16.843878302979274,0.0
Aptamil 5 Çocuk Devam Sütü 350 Gr,539.9,6926,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Aptamil 5 Çocuk Devam Sütü 800 Gr,1109.9,7914,Bebek Ürünleri,12,0.0,0.0,16.843878302979274,0.0
Bebelac 1 Bebek Sütü 400 Gr,379.9,5915,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Bebelac 1 Bebek Sütü 800 Gr,679.9,5918,Bebek Ürünleri,12,0.0,0.0,13.335555925987666,0.0
Bebelac 2 Bebek Sütü 400 Gr,379.9,5916,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Bebelac 2 Bebek Sütü 800 Gr,679.9,5919,Bebek Ürünleri,12,0.0,0.0,,
Bebelac 3 Bebek Sütü 400 Gr,379.9,5917,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Bebelac 3 Bebek Sütü 800 Gr,679.9,5920,Bebek Ürünleri,12,0.0,0.0,13.335555925987666,0.0
Bebelac 4 Bebek Sütü 400 Gr,379.9,5921,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Bebelac 4 Bebek Sütü 800 Gr,679.9,5922,Bebek Ürünleri,12,0.0,0.0,13.335555925987666,0.0
Bebelac Elma Armut Püresi Kavanoz Maması 125 Gr,49.9,10322,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Bebelac Elma Şeftali Püresi Kavanoz Maması 125 Gr,49.9,8445,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Bebelac Gold 1 Bebek Sütü 800 Gr,819.9,5923,Bebek Ürünleri,12,0.0,0.0,17.145306472353194,0.0
Bebelac Gold 2 Bebek Sütü 800 Gr,819.9,5924,Bebek Ürünleri,12,0.0,0.0,17.145306472353194,0.0
Bebelac Gold 2 Devam Sütü 350 Gr,409.9,7903,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Bebelac Gold 3 Devam Sütü 350 Gr,409.9,2311,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
Bebelac Gold Kavanoz Sütlaç 125 Gr,49.9,8405,Bebek Ürünleri,12,0.0,0.0,0.0,0.0
