url,name,brand,sku,original_price,member_price,discount,stock,image
https://www.watsons.com.tr/deborah-24ore-extra-kas-kalemi-dark/p/BP_151748,Deborah 24Ore Extra Kaş Kalemi Dark,DEBORAH,151748,"199,00 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hd5/hba/8902561824798/prd-front-151748_1200x1200/prd-front-151748-1200x1200.jpeg
https://www.watsons.com.tr/essence-8h-matte-comfort-dudak-kalemi-no-04/p/BP_1340815,,,,N/A,N/A,N/A,,
https://www.watsons.com.tr/elseve-turunculasma-karsiti-mor-maske-150-ml/p/BP_173911,Elseve Turunculaşma Karşıtı Mor Maske 150 ml,ELSEVE,173911,"499,90 ₺","199,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hf3/h7e/8910765195294/prd-front-173911_1200x1200/prd-front-173911-1200x1200.png
https://www.watsons.com.tr/gillette-blue3-sensitive-kullan-at-tiras-bicagi-6-adet/p/BP_1390459,Gillette Blue3 Sensitive Kullan At Tıraş Bıçağı 6 Adet,GILLETTE,1390459,"499,90 ₺","381,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h6f/h1c/10095064514590/prd-front-1390459_1200x1200/prd-front-1390459-1200x1200.jpg
https://www.watsons.com.tr/duru-body-scrub-dus-jeli-pink-delight-450-ml/p/BP_1477119,Duru Body Scrub Duş Jeli Pink Delight 450 ml,DURU,1477119,"349,90 ₺","149,00 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hf1/h87/13319647395870/prd-front-1477119_1200x1200/prd-front-1477119-1200x1200.jpg
https://www.watsons.com.tr/collagen-by-watsons-white-regeneration-tonik-ped-90li/p/BP_1455902,Collagen By Watsons White Regeneration Tonik Ped 90'lı,COLLAGEN BY WATSONS,1455902,"1.199,90 ₺","399,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hb6/hfb/14104276598814/prd-front-1455902_1200x1200/prd-front-1455902-1200x1200.png
https://www.watsons.com.tr/show-by-pastel-monochrome-duo-eyes-ikili-far-paleti-31-emerald-dust/p/BP_1353044,Show By Pastel Monochrome Duo Eyes İkili Far Paleti 31 Emerald Dust,SHOW BY PASTEL,1353044,"429,90 ₺","169,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hab/h1a/9325089325086/prd-front-1353044_1200x1200/prd-front-1353044-1200x1200.png
https://www.watsons.com.tr/dfeys-arindirici-ve-tazeleyici-yuz-temizleme-jeli-200-ml/p/BP_1453578,D'Feys Arındırıcı ve Tazeleyici Yüz Temizleme Jeli 200 ml,D'FEYS,1453578,"663,90 ₺","264,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h80/h80/12865145110558/prd-front-1453578_1200x1200/prd-front-1453578-1200x1200.jpg
https://www.watsons.com.tr/lador-keratinli-cift-faz-isi-kory-sac-spreyi-130-ml/p/BP_1434146,Lador Keratinli Çift Faz Isı Kory Saç Spreyi 130 ml,LADOR,1434146,"1.349,90 ₺","539,90 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h23/h2d/12150689988638/prd-front-1434146_1200x1200/prd-front-1434146-1200x1200.jpg
https://www.watsons.com.tr/michael-kors-wonderlust-kadin-parfum-edp-100-ml/p/BP_1427615,Michael Kors Wonderlust Kadın Parfüm EDP 100 ml,MICHEAL KORS,1427615,"6.869,90 ₺","3.999,00 ₺",,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hb0/h66/11882334683166/prd-front-1427615_1200x1200/prd-front-1427615-1200x1200.jpg
https://www.watsons.com.tr/youpick-canta-charmi-orgu/p/BP_1442812,Youpick Çanta Charmı Örgü,Youpick,1442812,"149,00 ₺",N/A,,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hc4/h03/12431003942942/prd-front-1442812_1200x1200/prd-front-1442812-1200x1200.jpg
https://www.watsons.com.tr/bioderma-photoderm-pediatrics-mineral-spf50-yenidogan-bebek-cocuk-cok-yuksek-korumali-gunes-kremi-50-gr/p/BP_1435959,,,,N/A,N/A,N/A,,
https://www.watsons.com.tr/pastel-summer-love-oje-446/p/BP_1445962,Pastel Summer Love Oje 446,PASTEL,1445962,"29,95 ₺",N/A,N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h3e/ha3/12524965036062/prd-front-1445962_1200x1200/prd-front-1445962-1200x1200.jpg
https://www.watsons.com.tr/slipstop-8-9-yas-erkek-cocuk-pack-mayo-sort/p/BP_1363124,,,,N/A,N/A,N/A,,
https://www.watsons.com.tr/sensodyne-dis-macunu-klinik-beyazlik-dis-minesi-75-ml/p/BP_1392279,Sensodyne Diş Macunu Klinik Beyazlık Diş Minesi 75 ml,SENSODYNE,1392279,"499,90 ₺","299,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h60/h50/13602231713822/prd-front-1392279_1200x1200/prd-front-1392279-1200x1200.jpg
https://www.watsons.com.tr/loreal-paris-infaillible-matte-resistance-likit-mat-ruj-105-breakfast-in-bed/p/BP_1369151,L'Oreal Paris Infaillible Matte Resistance Likit Mat Ruj 105 Breakfast In Bed,LOREAL PARIS,1369151,"1.699,90 ₺","1.019,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/h9a/ha2/9674415964190/prd-front-1369151_1200x1200/prd-front-1369151-1200x1200.jpg
https://www.watsons.com.tr/wellaflex-men-dynamic-wax-ultra-guc-75-ml/p/BP_1443974,Wellaflex Men Dynamic Wax Ultra Güç 75 ml,WELLA,1443974,"289,90 ₺","129,90 ₺",N/A,Tükendi,https://media.watsons.com.tr/medias/sys_master/prd-images/hbf/h01/12354168127518/prd-front-1443974_1200x1200/prd-front-1443974-1200x1200.jpg
