url,name,price
https://www.watsons.com.tr/nivea-sun-spf-50-koruma-48-saat-nemlendirme-gunes-kremi-200-ml-sprey/p/BP_115625,Nivea Sun SPF 50+ Koruma &amp; 48 Saat Nemlendirme Güneş Kremi 200 ml Sprey,"1.879,90 ₺"
https://www.watsons.com.tr/nascita-blue-dreams-mini-sunger-seti-2li/p/BP_1381359,Nascita Blue Dreams Mini Sünger Seti 2'li,"144,90 ₺"
https://www.watsons.com.tr/dicora-urban-fit-urban-fit-dus-jeli-enerji-vetiver-ginseng-400-ml/p/BP_160348,Dicora Urban Fit Urban Fit Duş Jeli Enerji Vetiver &amp; Ginseng 400 ml,"274,90 ₺"
https://www.watsons.com.tr/bomb-cosmetics-pool-party-sabun-100-g/p/BP_1384047,Bomb Cosmetics Pool Party Sabun Dilimi 100 g,"149,00 ₺"
https://www.watsons.com.tr/essence-glossy-jelly-mini-oje-03/p/BP_1446711,Essence Glossy Jelly Mini Oje 03,"61,95 ₺"
https://www.watsons.com.tr/2wins-beauty-legendary-blush-stick-cherry-pop/p/BP_1464085,2Wins Beauty Legendary Blush Stick Cherry Pop,"1.589,90 ₺"
https://www.watsons.com.tr/revolution-skin-silk-serum-fondoten-f2/p/BP_1390011,Revolution Skin Silk Serum Fondöten F2,"1.939,90 ₺"
https://www.watsons.com.tr/golden-rose-flash-lash-maskara-coral-rose-no-06/p/BP_1397326,Golden Rose Flash Lash Maskara Coral Rose No: 06,"619,90 ₺"
https://www.watsons.com.tr/miine-cherry-pop-volkanik-tas/p/BP_1453767,Miine Cherry Pop Volkanik Taş,"119,90 ₺"
https://www.watsons.com.tr/pastel-nude-matte-lipstick-nude-mat-ruj-589-warm-nude/p/BP_154790,Pastel Nude Matte  Lipstick Nude Mat Ruj 589 Warm Nude,"699,90 ₺"
https://www.watsons.com.tr/maybelline-new-york-serum-etkili-hyaluronik-asit-ve-besleyici-yag-iceren-ruj-satin-outtil-4-102/p/BP_1480339,Maybelline New York Serum Etkili Hyaluronik Asit ve Besleyici Yağ İçeren Ruj Satin Out'Til 4 102,"1.049,90 ₺"
https://www.watsons.com.tr/maybelline-new-york-instant-perfector-glow-4-etki-1-arada-fondoten-00-fair-light/p/BP_1345897,Maybelline New York Instant Perfector Glow 4 Etki 1 Arada Fondöten 00 Fair Light,"399,00 ₺"
https://www.watsons.com.tr/flormar-matte-yogun-pigmentli-mat-oje-no-m40/p/BP_1236844,Flormar Matte Yoğun Pigmentli Mat Oje No: M40,"29,95 ₺"
