url,name,normal_price
https://www.watsons.com.tr/watsons-footease-jel-ayak-destek-1-cift/p/BP_1427167,Watsons Footease Jel Ayak Destek 1 Çift,"149,90 ₺"
https://www.watsons.com.tr/deborah-milano-red-creamy-ruj-no-13/p/BP_1386658,Deborah Milano Red Creamy Ruj No: 13,"149,00 ₺"
https://www.watsons.com.tr/nyx-professional-make-up-lip-iv-dudak-parlaticisi-tint-dripping-in-rose/p/BP_1430212,Nyx Professional Make Up Lip IV Dudak Parlatıcısı Tint Dripping In Rose,"999,90 ₺"
https://www.watsons.com.tr/note-nemlendirici-yumusak-stick-allik-40-ruby/p/BP_1462608,Note Nemlendirici Yumuşak Stick Allık 40 Ruby,"799,90 ₺"
https://www.watsons.com.tr/kalyon-tirnak-besleyici/p/BP_119450,Kalyon Tırnak Besleyici,"264,90 ₺"
https://www.watsons.com.tr/givenchy-linterdit-kadin-parfum-edp-80-ml-/p/BP_1430429,Givenchy Linterdit Kadın Parfüm Edp 80 ml,"9.599,90 ₺"
https://www.watsons.com.tr/palette-kalici-dogal-renkler-6-88-ates-kizili/p/BP_1316301,N/A,N/A
https://www.watsons.com.tr/solait-after-sun-gunes-sonrasi-aloe-vera-jel-200-ml/p/BP_152931,Solait After Sun Güneş Sonrasi Aloe Vera Jel 200 ml,"79,95 ₺"
https://www.watsons.com.tr/lovely-bonjour-lip-gloss-no-2/p/BP_1442266,Lovely Bonjour Lip Gloss No: 2,"59,95 ₺"
https://www.watsons.com.tr/miine-cilek-makyaj-sungeri-3lu/p/BP_1410395,Miine Çilek Makyaj Süngeri 3'lü,"299,90 ₺"
https://www.watsons.com.tr/le-petit-marseillais-organik-mango-organik-carkifelek-meyvesi-400-ml/p/BP_1358245,Le Petit Marseillais Organik Mango &amp; Organik Çarkıfelek Meyvesi 400 ml,"369,90 ₺"
https://www.watsons.com.tr/golden-rose-miracle-kalem-dudak-kalemi/p/BP_1324617,Golden Rose Miracle Kalem Dudak Kalemi,"39,95 ₺"
https://www.watsons.com.tr/eda-taspinar-poker-face-body-mist-200-ml/p/BP_1292172,Eda Taşpınar Poker Face Body Mist 200 ml,"499,90 ₺"
https://www.watsons.com.tr/loreal-paris-telescopic-lift-extra-black-maskara/p/BP_1344091,L'Oreal Paris Telescopic Lift Extra Black Maskara,"1.799,90 ₺"
https://www.watsons.com.tr/nyx-professional-make-up-lip-iv-dudak-parlaticisi-tint-hydra-honey/p/BP_1430247,Nyx Professional Make Up Lip IV Dudak Parlatıcısı Tint Hydra Honey,"999,90 ₺"
https://www.watsons.com.tr/slipstop-aquatic-mayo-sort-10-11-yas-erkek-cocuk/p/BP_1439109,N/A,N/A
https://www.watsons.com.tr/urban-care-biotin-expert-peeling-sampuan-200-ml/p/BP_158689,Urban Care Biotin Expert Peeling Şampuan 200 ml,"779,90 ₺"
https://www.watsons.com.tr/loreal-paris-infaillible-32h-fresh-wear-c-vitaminli-fondoten-130-true-beige/p/BP_161950,L'Oreal Paris Infaillible 32H Fresh Wear C Vitaminli Fondöten 130 True Beige,"2.149,90 ₺"
https://www.watsons.com.tr/superdrug-b-krem-kopuk-temizleyici-100-ml/p/BP_1380008,Superdrug B. Krem Köpük Temizleyici 100 ml,"39,95 ₺"
https://www.watsons.com.tr/revolution-wrap-lash-maskara-black/p/BP_1460858,Revolution Wrap Lash Maskara Black,"2.124,90 ₺"
https://www.watsons.com.tr/flormar-shimmer-shine-isiltili-likit-far-no-003/p/BP_1292655,N/A,N/A
https://www.watsons.com.tr/youpick-mandal-toka-buyuk-tirmik-lila/p/BP_1377691,N/A,N/A
https://www.watsons.com.tr/pastel-oje-no-02/p/BP_116822,Pastel Oje No: 02,"119,90 ₺"
https://www.watsons.com.tr/the-purest-solutions-temizleme-jeli-nemlendirici-400-ml/p/BP_1425438,The Purest Solutions Temizleme Jeli Nemlendirici 400 ml,"1.199,90 ₺"
https://www.watsons.com.tr/nascita-makyaj-pufu-zodiac-rubycell/p/BP_1450295,Nascita Makyaj Pufu Zodiac Rubycell,"199,90 ₺"
https://www.watsons.com.tr/flormar-kiss-me-more-lip-tattoo-no-018-perfection/p/BP_1372791,Flormar Kiss Me More Lip Tattoo No: 018 Perfection,"949,90 ₺"
https://www.watsons.com.tr/flormar-star-shine-yogun-pigmentli-metalik-oje-no-004/p/BP_163416,Flormar Star Shine Yoğun Pigmentli Metalik Oje No: 004,"199,90 ₺"
https://www.watsons.com.tr/biomagic-sac-boyasi-yogun-kullu-koyu-kumral-no-611/p/BP_166697,Biomagic Saç Boyası Yoğun Küllü Koyu Kumral No: 6.11,"699,90 ₺"
https://www.watsons.com.tr/dove-hair-therapy-durulanmayan-onarici-serum-rescue-protect-100-ml/p/BP_1402842,N/A,N/A
https://www.watsons.com.tr/flormar-ultra-yogun-renk-veren-mat-bitisli-goz-kalemi-no-019/p/BP_166302,Flormar Ultra Yoğun Renk Veren Mat Bitişli Göz Kalemi No: 019,"599,90 ₺"
https://www.watsons.com.tr/signal-white-system-75-ml-white-now-lekesiz-50-ml-dis-macunu-seti/p/BP_1420104,Signal White System 75 ml + White Now Lekesiz 50 ml Diş Macunu Seti,"358,90 ₺"
https://www.watsons.com.tr/slipstop-27-29-numara-kiz-cocuk-kaydirmaz-ayakkabi-hermes/p/BP_1399244,N/A,N/A
https://www.watsons.com.tr/watsons-el-sabunu-bal-sut-500-ml/p/BP_1290695,Watsons El Sabunu Bal &amp; Süt 500 ml,"109,90 ₺"
https://www.watsons.com.tr/pino-silvestre-erkek-parfum-edt-italian-citrus-125-ml/p/BP_1381401,N/A,N/A
https://www.watsons.com.tr/frudia-my-orchard-soothing-mist-aloe-vera-125-ml/p/BP_1394484,Frudia My Orchard Soothing Mist Aloe Vera 125 ml,"429,90 ₺"
https://www.watsons.com.tr/carnaval-kurdele-detayli-beyaz-firfirli-corap/p/BP_1440642,N/A,N/A
https://www.watsons.com.tr/note-cosmetique-3-in-1-healthy-skin-light-tinted-moisturizer-spf-50-renk-ton-esitleyici-aydinlatici-krem-00-acik-ton/p/BP_1446375,Note Cosmetique 3 in 1 Healthy Skin Light Tinted Moisturizer SPF 50 Renk Ton Eşitleyici Aydınlatıcı Krem 00 Açık Ton,"949,90 ₺"
https://www.watsons.com.tr/gliss-7sec-split-hair-miracle-ekspres-onarici-bakim-iyonik-kompleks-ve-uzum-cekirdegi-yagi-ile-200-ml/p/BP_1326017,N/A,N/A
https://www.watsons.com.tr/nyx-professional-makeup-bare-with-me-kapatici-serum-07-medium/p/BP_1319598,N/A,N/A
https://www.watsons.com.tr/flormar-dewy-lip-booster-dolgunlastirici-dudak-parlaticisi-no-002/p/BP_1354920,Flormar Dewy Lip Booster Dolgunlaştırıcı Dudak Parlatıcısı No: 002,"849,90 ₺"
https://www.watsons.com.tr/elseve-hydra-hyaluronic-72-saat-nem-ile-dolgunlastiran-maske-300-ml/p/BP_1328817,Elseve Hydra [Hyaluronic] 72 Saat Nem ile Dolgunlaştıran Maske 300 ml,"599,90 ₺"
https://www.watsons.com.tr/flormar-vinyl-waterproof-yogun-pigmentli-parlak-dipliner-no-001/p/BP_159991,Flormar Vinyl Waterproof Yoğun Pigmentli Parlak Dipliner No: 001,"899,90 ₺"
https://www.watsons.com.tr/maybelline-new-york-poreless-jelly-gozenek-gizleyici-makyaj-bazi/p/BP_1437184,Maybelline New York Poreless Jelly Gözenek Gizleyici Makyaj Bazı,"1.249,90 ₺"
https://www.watsons.com.tr/true-spirit-semsiye-tam-otomatik-siyah/p/BP_1418249,True Spirit Şemsiye Tam Otomatik Siyah,"349,90 ₺"
https://www.watsons.com.tr/angie-wild-garden-vucut-spreyi-250-ml/p/BP_1310946,N/A,N/A
https://www.watsons.com.tr/roc-retinol-kirisiklik-karsiti-gece-kremi-30-ml/p/BP_1312843,Roc Retinol Kırışıklık Karşıtı Gece Kremi 30 ml,"2.999,90 ₺"
https://www.watsons.com.tr/nascita-garden-kontur-fircasi/p/BP_1343846,Nascita Garden Kontür Fırçası,"339,90 ₺"
https://www.watsons.com.tr/note-mineral-pudra-no-01/p/BP_149060,Note Mineral Pudra No: 01,"899,90 ₺"
https://www.watsons.com.tr/nivea-fresh-sensation-kadin-roll-on-deodorant-50-ml-72-saat-anti-perspirant-koruma/p/BP_1355949,Nivea Fresh Sensation Kadın Roll on Deodorant 50 ml 72 Saat Anti-perspirant Koruma,"311,90 ₺"
https://www.watsons.com.tr/flormar-nail-enamel-yogun-pigmentli-parlak-oje-no-538/p/BP_1378125,Flormar Nail Enamel Yoğun Pigmentli Parlak Oje No: 538,"99,95 ₺"
https://www.watsons.com.tr/revolution-forever-flawless-far-paleti-affinity/p/BP_1261057,Revolution Forever Flawless Far Paleti Affinity,"1.499,90 ₺"
https://www.watsons.com.tr/true-spirit-semsiye-tam-otomatik-bordo/p/BP_1455741,N/A,N/A
https://www.watsons.com.tr/watsons-love-is-in-the-hair-milk-kuru-sampuan-200-ml/p/BP_1412656,Watsons Love Is In The Hair Milk Kuru Şampuan 200 ml,"299,90 ₺"
https://www.watsons.com.tr/note-collagen-kapatici-no-02/p/BP_1334326,Note Collagen Kapatıcı No: 02,"899,90 ₺"
https://www.watsons.com.tr/kedv-kisa-fimo-boncuklu-telefon-askisi/p/BP_1346772,KEDV Kısa Fimo Boncuklu Telefon Askısı,"179,90 ₺"
https://www.watsons.com.tr/maruderm-hyaluronik-asit-sac-tonigi-200-ml/p/BP_1445304,N/A,N/A
https://www.watsons.com.tr/i-heart-revolution-pop-gloss-balm-cherry-red/p/BP_1444520,I Heart Revolution Pop Gloss Balm Cherry Red,"199,00 ₺"
https://www.watsons.com.tr/batiste-kuru-sampuan-original-200-ml/p/BP_1424661,Batiste Kuru Şampuan Original 200 ml,"619,90 ₺"
https://www.watsons.com.tr/-kiss-true-volume-eyelash-ritzy-takma-kirpik/p/BP_164932,N/A,"529,90 ₺"
https://www.watsons.com.tr/frudia-my-orchard-maske-mango-1-adet/p/BP_1376284,Frudia My Orchard Maske Mango 1 Adet,"79,95 ₺"
https://www.watsons.com.tr/note-cosmetics-velvet-blur-tint-kadife-bitisli-nemlendirici-mat-ruj-02-rose-dusk/p/BP_1464918,N/A,"599,90 ₺"
https://www.watsons.com.tr/show-by-pastel-baby-balmy-serum-gloss-30-ghosting/p/BP_1444961,Show By Pastel Baby Balmy Serum Gloss 30 Ghosting,"399,90 ₺"
https://www.watsons.com.tr/flormar-suya-dayanikli-mat-goz-kalemi-no-102/p/BP_116140,N/A,N/A
https://www.watsons.com.tr/eloque-kolajen-bal-dogal-kabak-lifli-sabun-120-gr/p/BP_1326745,Eloque Kolajen &amp; Bal Doğal Kabak Lifli Sabun 120 gr,"109,90 ₺"
https://www.watsons.com.tr/max-factor-facefinity-compact-fdt-refill-02-ivory/p/BP_1409261,Max Factor Facefinity Compact Fdt Refill 02 Ivory,"649,90 ₺"
https://www.watsons.com.tr/smileyes-kids-meyve-jolesi-3-6-yas-cocuk-dis-macun/p/BP_1456378,Smileyes Kids Meyve Jölesi 3-6 Yaş Çocuk Diş Macun,"239,90 ₺"
https://www.watsons.com.tr/maruderm-aydinlatici-leke-karsiti-glikolik-asit-7-tonik-250-ml/p/BP_1368696,Maruderm Aydınlatıcı Leke Karşıtı Glikolik Asit %7 Tonik 250 ml,"799,90 ₺"
https://www.watsons.com.tr/deborah-milano-24-ore-otomatik-dudak-kalemi-01/p/BP_1455370,Deborah Milano 24 Ore Otomatik Dudak Kalemi 01,"639,90 ₺"
https://www.watsons.com.tr/lacoste-pour-femme-kadin-parfum-edp-90-ml/p/BP_1409870,N/A,N/A
https://www.watsons.com.tr/golden-rose-soft-mat-creamy-lipcolor-ruj-no-111/p/BP_159978,Golden Rose Soft Mat Creamy Lipcolor Ruj No: 111,"149,00 ₺"
https://www.watsons.com.tr/dr-althea-345-relief-krem-50-ml/p/BP_1458884,Dr. Althea 345 Relief Krem 50 ml,"2.899,90 ₺"
https://www.watsons.com.tr/max-factor-skin-reset-2in1-fondoten-light/p/BP_1461075,Max Factor Skin Reset 2in1 Fondöten Light,"1.874,90 ₺"
https://www.watsons.com.tr/maruderm-spf50-mineral-filtre-gunes-kremi-50-ml/p/BP_1392118,Maruderm SPF+50 Mineral Filtre Güneş Kremi 50 ml,"799,90 ₺"
https://www.watsons.com.tr/note-bb-krem-no-500/p/BP_165320,Note BB Krem No: 500,"949,90 ₺"
https://www.watsons.com.tr/loreal-paris-hyaluron-tint-521-bordeaux-pleas/p/BP_1480556,N/A,"1.199,90 ₺"
https://www.watsons.com.tr/miine-topuz-tokasi-3lu/p/BP_1463182,N/A,"99,95 ₺"
https://www.watsons.com.tr/roc-retinol-correxion-kirisiklik-giderici-gunduz-kremi-spf30-30-ml/p/BP_1397081,RoC Retinol Correxion Kırışıklık Giderici Gündüz Kremi SPF30 30 ml,"2.999,90 ₺"
https://www.watsons.com.tr/avon-care-el-kremi-yaban-mersini-75-ml/p/BP_1434951,Avon Care El Kremi Yaban Mersini 75 ml,"159,90 ₺"
