product-name,product-price,shown_price,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Flormar Extreme Tattoo Suya Dayanıklı ve Uzun Süre Kalıcı Jel Göz Kalemi Siyah,799.9,799.9,Flormar Extreme Tattoo Suya Dayanıklı ve Uzun Süre Kalıcı Jel Göz Kalemi Siyah,12,0.0,0.0,0.0,
Flormar Stay Perfect Yoğun Pigmentli Likit Kapatıcı 001 Fair,1049.9,1049.9,Flormar Stay Perfect Yoğun Pigmentli Likit Kapatıcı 001 Fair,12,0.0,0.0,0.0,
Maybelline New York Fit Me Mat & Poreless Pudra No: 90 Transparan,1599.9,1599.9,Maybelline New York Fit Me Mat & Poreless Pudra No: 90 Transparan,12,0.0,0.0,0.0,
Maybelline New York Cloudtopia Köpük Dokulu Mat Allık 03 Divine Crimson,1199.9,1199.9,Maybelline New York Cloudtopia Köpük Dokulu Mat Allık 03 Divine Crimson,12,0.0,,,
L’Oreal Paris Panorama Hacim Veren Maskara All Night Black Siyah,1799.9,1799.9,L’Oreal Paris Panorama Hacim Veren Maskara All Night Black Siyah,12,0.0,0.0,0.0,
Maybelline New York Super Lock Brow Glue Kaş Sabitleyici Maskara Taupe,1299.9,1299.9,Maybelline New York Super Lock Brow Glue Kaş Sabitleyici Maskara Taupe,12,0.0,0.0,0.0,
Maybelline New York Colossal Bubble Maskara,1149.9,1149.9,Maybelline New York Colossal Bubble Maskara,12,0.0,0.0,0.0,
Maybelline New York Superstay Mat Ink Unnude Ruj 65 Seductress,1449.9,1449.9,Maybelline New York Superstay Mat Ink Unnude Ruj 65 Seductress,12,0.0,0.0,0.0,
L'Oreal Paris Hyaluron Lip Tint 601 Worth It,1199.9,1199.9,L'Oreal Paris Hyaluron Lip Tint 601 Worth It,12,0.0,0.0,0.0,
L'Oreal Paris True Match Bakım Yapan Fondöten 2R Rose Vanilla,1699.9,1699.9,L'Oreal Paris True Match Bakım Yapan Fondöten 2R Rose Vanilla,12,0.0,0.0,0.0,
Flormar Kontür Stick 03 Medium Deep,1049.9,1049.9,Flormar Kontür Stick 03 Medium Deep,12,0.0,0.0,0.0,
Nyx Professional Makeup Buttermelt Bronzer 04 Butta Buscuit,1099.9,1099.9,Nyx Professional Makeup Buttermelt Bronzer 04 Butta Buscuit,12,0.0,0.0,0.0,
L'Oreal Paris Infaillible 24H Kapatıcı 323 Fawn,1459.9,1459.9,L'Oreal Paris Infaillible 24H Kapatıcı 323 Fawn,12,0.0,0.0,0.0,
Flormar Sheer Up Ruj No: 018 Enchanted Kiss,869.9,869.9,Flormar Sheer Up Ruj No: 018 Enchanted Kiss,12,0.0,0.0,0.0,
