name,price,shown_price,id,tuik_category,basic_inflation_1d,basic_inflation_7d,basic_inflation_15d,basic_inflation_30d
Nivea Sun SPF50+ 48 Nemlendirici Vücut Güneş Koruyucu Losyon 200 ml,1629.9,1629.9,Nivea Sun SPF50+ 48 Nemlendirici Vücut Güneş Koruyucu Losyon 200 ml,12,0.0,,,
Pure Beauty Brighten Up Yüz Güneş Kremi SPF50 PA++++ 50 ml,1399.9,1399.9,Pure Beauty Brighten Up Yüz Güneş Kremi SPF50 PA++++ 50 ml,12,0.0,,,
Neutrogena Hydro Boost Yorgunluk Karşıtı Göz Kremi 15 ml,632.9,632.9,Neutrogena Hydro Boost Yorgunluk Karşıtı Göz Kremi 15 ml,12,0.0,0.0,,
Eda Taşpınar Yoğun Bronzluk Güneş Seti SP50+ Vücut Güneş Kremi & Yoğun Bronzlaştırıcı Sprey & Kalıcı Bronzluk Losyonu,1599.9,1599.9,Eda Taşpınar Yoğun Bronzluk Güneş Seti SP50+ Vücut Güneş Kremi & Yoğun Bronzlaştırıcı Sprey & Kalıcı Bronzluk Losyonu,12,0.0,,,
Garnier Micellar Kusursuz Makyaj Temizleme Suyu 200 ml,279.9,279.9,Garnier Micellar Kusursuz Makyaj Temizleme Suyu 200 ml,12,0.0,0.0,,
COSRX AHA-BHA İÇEREN ARINDIRICI TONİK 150ML,1099.9,1099.9,COSRX AHA-BHA İÇEREN ARINDIRICI TONİK 150ML,12,0.0,0.0,,
Round Lab Birch Juice Tonik 300 ml,1399.9,1399.9,Round Lab Birch Juice Tonik 300 ml,12,0.0,,,
Maruderm Cica Cilt Tonu Eşitleyici Krem 15 SPF 15 ml,699.9,699.9,Maruderm Cica Cilt Tonu Eşitleyici Krem 15 SPF 15 ml,12,0.0,0.0,,
BIODANCE HYDRO CERA-NOL REAL DEEP MASKE 34G,679.9,679.9,BIODANCE HYDRO CERA-NOL REAL DEEP MASKE 34G,12,0.0,,,
Banila Co Hello Sunny Yüz Güneş Kremi SPF50+ PA++++ 50 ml,1849.9,1849.9,Banila Co Hello Sunny Yüz Güneş Kremi SPF50+ PA++++ 50 ml,12,0.0,,,
Watsons Vanilyalı Köpük Losyon 75 ml,199.9,199.9,Watsons Vanilyalı Köpük Losyon 75 ml,12,0.0,0.0,,
Dr Althea 147 Bariyer Krem 50 ml,2999.9,2999.9,Dr Althea 147 Bariyer Krem 50 ml,12,0.0,0.0,,
The Purest Solutions Nemlendirici Temizleyici 200 ml,749.9,749.9,The Purest Solutions Nemlendirici Temizleyici 200 ml,12,0.0,0.0,,
Round Lab Mugwort Tonik 300 ml,1599.9,1599.9,Round Lab Mugwort Tonik 300 ml,12,0.0,,,
Neutrogena Hydro Boost Water Gel Temizleyici 200 ml,419.9,419.9,Neutrogena Hydro Boost Water Gel Temizleyici 200 ml,12,0.0,0.0,,
Axis-Y Artichoke Cilt Bariyeri Onarıcı Ampul 30 ml,1999.9,1999.9,Axis-Y Artichoke Cilt Bariyeri Onarıcı Ampul 30 ml,12,0.0,0.0,,
Axis-Y Heartleaf Yatıştırıcı Krem 60 ml,1999.9,1999.9,Axis-Y Heartleaf Yatıştırıcı Krem 60 ml,12,0.0,0.0,,
Deoproce Korea UV Yüz Stick Güneş Koruyucu Hafif SPF50+ PA++++ 18 g,1449.9,1449.9,Deoproce Korea UV Yüz Stick Güneş Koruyucu Hafif SPF50+ PA++++ 18 g,12,0.0,,,
The Purest Solutions Temizleme Jeli Arındırıcı 400 ml,1199.9,1199.9,The Purest Solutions Temizleme Jeli Arındırıcı 400 ml,12,0.0,0.0,,
Bioderma Photoderm Spot Leke Karşıtı Yüz Güneş Kremi SPF50+ PA++++ 150 ml,1999.9,1999.9,Bioderma Photoderm Spot Leke Karşıtı Yüz Güneş Kremi SPF50+ PA++++ 150 ml,12,0.0,,,
L'Oreal Paris Revitalift Clinical %12 Saf C Vitamini Aydınlatıcı Serum 30 ml,1299.9,1299.9,L'Oreal Paris Revitalift Clinical %12 Saf C Vitamini Aydınlatıcı Serum 30 ml,12,0.0,0.0,,
She Vec Slyc Alright Salisilik Asit Tonik 200 ml,729.9,729.9,She Vec Slyc Alright Salisilik Asit Tonik 200 ml,12,0.0,0.0,,
Cosrx Master Patch Original Fit Akne Bandı 24 Adet,399.9,399.9,Cosrx Master Patch Original Fit Akne Bandı 24 Adet,12,0.0,0.0,,
Maruderm Yağ Bazlı Yüz ve Vücut Temizleme Yağı 400 ml,849.9,849.9,Maruderm Yağ Bazlı Yüz ve Vücut Temizleme Yağı 400 ml,12,0.0,0.0,,
Mizon White Flower Snow Beyazlatıcı Krem 150 ml,1999.9,1999.9,Mizon White Flower Snow Beyazlatıcı Krem 150 ml,12,0.0,0.0,,
