District,Rooms,Price
Merkez,2+1,20000.0
Merkez,2+1,25000.0
Erbaa,2+1,20000.0
Merkez,3+1,20000.0
Turhal,2+1,21000.0
Merkez / Köyler,3+1,26000.0
Merkez,2+1,20000.0
Merkez,1+1,21000.0
Merkez / Karşıyaka,3.5+1,32000.0
Merkez / Karşıyaka,3+1,22000.0
Merkez,3+1,23000.0
Merkez,3+1,27000.0
Merkez,2+1,21000.0
Pazar,3+1,20000.0
Merkez,3+1,21500.0
Merkez,3+1,30000.0
Merkez,3+1,25000.0
Merkez / Karşıyaka,3+1,25000.0
Merkez / Karşıyaka,3+1,27500.0
Merkez,3+1,26000.0
Merkez,1+1,21000.0
Merkez,3+1,20000.0
Merkez / Karşıyaka,3+1,30500.0
Merkez,1+1,20000.0
Merkez,3+1,25000.0
Merkez / Karşıyaka,2+1,21000.0
Merkez,2+0,21000.0
Merkez / Köyler,3+1,20000.0
Turhal,4+1,28000.0
Merkez,3+1,21000.0
Merkez,2+1,20000.0
Merkez,1+1,30000.0
Merkez,3+1,21500.0
Merkez,4+1,21500.0
Merkez / Köyler,3+1,33000.0
Erbaa,3+1,25000.0
Erbaa,2+0,20000.0
Merkez,2+0,25000.0
Merkez,2+1,20000.0
Erbaa,1+1,20000.0
Merkez,1+1,21000.0
Merkez,1+1,20000.0
Merkez,3+1,23000.0
Turhal,3+1,23000.0
Merkez,3+1,20000.0
Merkez / Karşıyaka,2+0,20000.0
Merkez,2+1,20000.0
Merkez / Köyler,3+1,31000.0
Merkez / Köyler,1+1,25000.0
Merkez,2+0,20000.0
Merkez,3+1,25000.0
Merkez / Köyler,3+1,20000.0
Merkez,4+1,28500.0
Merkez / Köyler,3+1,28000.0
Merkez,3+1,23000.0
Merkez,1+1,22000.0
Turhal,3+1,30000.0
Turhal,2+1,21000.0
Merkez,3+1,35000.0
Merkez,3+1,21000.0
Merkez / Karşıyaka,3+1,29000.0
Erbaa,3+1,20000.0
Merkez,1+1,26000.0
Merkez,3+1,25500.0
Merkez,1+1,25000.0
Merkez,4+1,37500.0
Merkez,5+2,35000.0
Merkez,2+0,23500.0
Merkez,3+1,20000.0
Merkez,3+1,25000.0
Merkez / Köyler,4+1,32000.0
Merkez,2+1,20000.0
Merkez,1+1,20000.0
Merkez,3+1,24750.0
Merkez / Köyler,3+1,25250.0
Merkez,3+1,20000.0
Merkez,3+1,20000.0
Merkez / Köyler,2+1,20000.0
